Time (s), C00, C01, C02, C03, C04, C05, C06, C08, C09, C10, C11, C12, C13, C14, C15, C16, C18, C19
101652.958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101653.0580616142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101653.1581232284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101653.2581848426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101653.3582464568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101653.4583080711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
101653.5583696853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101653.6584312995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101653.7584929137,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
101653.8585545279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101653.9586161421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101654.0586777563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101654.1587393705,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
101654.2588009847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101654.358862599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101654.4589242132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101654.5589858274,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
101654.6590474416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101654.7591090558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101654.85917067,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
101654.9592322842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101655.0592938984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101655.1593555126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101655.2594171268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101655.3594787411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101655.4595403553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101655.5596019695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101655.6596635837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101655.7597251979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101655.8597868121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101655.9598484263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101656.0599100405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101656.1599716547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101656.2600332689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101656.3600948832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101656.4601564974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101656.5602181116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101656.6602797258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101656.76034134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101656.8604029542,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101656.9604645684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101657.0605261826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101657.1605877968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101657.2606494111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101657.3607110253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101657.4607726395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101657.5608342537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101657.6608958679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101657.7609574821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101657.8610190963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101657.9610807105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101658.0611423247,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
101658.1612039389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101658.2612655532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101658.3613271674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101658.4613887816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101658.5614503958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
