Time,C00,C01,C02,C03,C04,C05,C06,C08,C09,C10,C11,C12,C13, C14,C15,C16,C18,C19
0.100061522,0,0,0,0,9.686066,34.91192,0,309.8635,0,2.75946,49.39597,24.80725,0,52.34001,0,19.7377,35.73511,0
0.200123044,7.63E-06,48.5677,0,0,20.76717,33.06023,0,463.2074,-7.63E-06,40.29553,47.20428,63.2901,0,70.40285,0,18.70681,81.89783,0
0.300184566,0,46.58543,0,0,106.5877,69.34174,50.20392,433.8971,-7.63E-06,38.60571,62.54175,60.4834,5.773346,67.06382,0,17.72975,77.36731,0
0.400246088,7.63E-06,44.68406,0,3.05E-05,116.999,65.66394,59.32776,406.4415,-7.63E-06,36.98674,74.90366,127.7535,155.4313,89.34525,0,16.80373,73.08743,0
0.50030761,0,42.86029,0,0,134.0391,62.18121,59.9859,380.7232,-7.63E-06,77.89613,71.5802,223.182,198.508,85.10783,25.43277,89.08537,69.04428,0
0.600369132,0,41.11096,48.27314,0,178.3289,58.88319,56.73602,356.6323,0,82.04126,121.2453,213.2847,288.3296,81.07138,24.30287,84.43245,65.22482,0
0.700430654,0,39.43304,44.61919,0,216.8127,55.7601,53.66223,334.0657,62.90282,138.451,207.3909,293.7755,285.6058,82.63743,23.22316,80.02255,168.1961,0
0.800492175,7.63E-06,37.82359,143.1213,0,210.116,52.80265,50.755,312.9271,132.4236,138.3195,211.9136,284.3422,271.1805,78.71815,22.19142,75.84299,158.8916,0
0.900553697,7.63E-06,72.00033,132.288,0,200.2995,50.00206,48.00519,293.1261,141.7592,132.5189,202.5111,303.6689,305.2013,133.0851,21.20551,71.88171,150.1019,0
1.000615219,1.53E-05,75.86709,122.2747,0,222.8679,47.35001,45.40445,274.5781,134.3734,138.5127,194.7887,300.2364,288.5434,152.0659,20.2634,68.12734,141.7984,0
1.100676741,1.53E-05,89.38494,146.0191,4.256653,224.4303,44.83863,60.44998,257.2036,175.0941,179.1328,238.9008,371.9688,272.7946,147.7148,19.36316,64.56906,133.9542,0
1.200738263,1.53E-05,122.0364,147.4926,4.007812,227.2762,42.46044,57.17496,240.9286,261.4244,198.3111,283.4065,452.685,257.9055,140.709,18.50291,61.19663,153.2186,0
1.300799785,1.53E-05,137.3453,136.3284,115.9955,222.0658,40.20839,163.403,225.6834,247.8039,283.8923,270.8319,493.4923,243.829,134.0355,17.68088,58.00034,240.4388,0
1.400861307,1.53E-05,156.6943,126.0093,170.4085,295.2607,38.07579,180.7266,241.2932,234.8931,271.9869,316.8442,491.0737,231.7964,127.6786,16.89536,54.97099,272.5453,0
1.500922829,1.53E-05,151.0747,116.4713,160.4462,299.3387,36.0563,206.3962,273.3848,222.655,260.5808,302.7859,551.2224,242.0091,121.6231,16.14475,52.09986,257.4684,0
1.600984351,1.53E-05,152.9421,107.6552,151.0665,293.027,34.14392,235.2025,275.0293,211.0544,268.0189,289.3515,549.9822,244.346,115.8548,15.42749,49.37869,243.2255,0
1.701045873,1.53E-05,146.6999,99.50645,142.235,315.6152,32.33296,292.5968,292.8432,200.0583,256.7792,303.3753,531.3488,240.9599,127.1854,14.74209,46.79964,263.6759,0
1.801107395,26.10778,167.5905,91.97449,133.9198,334.274,30.61806,317.1873,305.8097,189.6351,246.0108,304.143,565.0763,260.0983,121.1533,14.08714,44.3553,249.0896,0
1.901168917,29.07273,160.7504,236.705,126.0908,318.6569,28.99412,300.0031,286.459,179.7549,235.6941,367.9829,611.7045,245.9021,115.4073,13.46128,42.03863,235.3102,0
2.001230439,27.8037,167.5587,747.784,190.433,303.7694,27.4563,283.7498,268.3328,170.3895,225.81,385.9166,584.5778,274.6149,200.5724,12.86324,39.84296,247.9977,0
2.101291961,54.37708,160.7198,958.9995,228.6728,289.5775,46.60527,268.377,251.3536,161.512,216.3404,380.5131,613.3938,259.6264,223.8776,12.29176,37.76197,252.424,0
2.201353483,73.442,154.1601,1133.439,718.8862,276.0485,145.148,253.8371,235.4488,153.0971,207.2679,423.7646,586.192,245.456,213.2597,11.74567,35.78967,268.1256,0
2.301415004,71.68059,147.8682,1263.476,1041.604,263.1517,137.4495,240.085,220.5503,145.1206,198.5759,485.1315,570.3915,232.059,203.1453,11.22384,33.92038,253.2931,0
2.401476526,68.5517,141.833,1208.823,991.9972,250.8573,135.929,720.2162,282.2953,137.5597,197.6738,463.6065,545.0969,219.3932,193.5106,10.7252,32.14872,239.2812,0
2.501538048,65.5594,136.0441,1117.323,996.1924,239.1374,128.7195,1087.551,264.4326,130.3927,189.3841,443.0365,611.4246,207.4187,184.3329,10.24871,30.4696,226.0443,0
