Time (s), C00, C01, C02, C03, C04, C05, C06, C08, C09, C10, C11, C12, C13, C14, C15, C16, C18, C19
16359.119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16359.21906151713,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16359.31912303425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16359.41918455138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16359.5192460685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16359.61930758563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16359.71936910275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16359.81943061988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16359.919492137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16360.01955365413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16360.11961517125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16360.21967668838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16360.3197382055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16360.41979972263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16360.51986123975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16360.61992275688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16360.719984274,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16360.82004579113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16360.92010730825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16361.02016882538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16361.12023034251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16361.22029185963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16361.32035337676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16361.42041489388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16361.52047641101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16361.62053792813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16361.72059944526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16361.82066096238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16361.92072247951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16362.02078399663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16362.12084551376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16362.22090703088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16362.32096854801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16362.42103006513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16362.52109158226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16362.62115309938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16362.72121461651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16362.82127613363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16362.92133765076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16363.02139916789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16363.12146068501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16363.22152220214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16363.32158371926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16363.42164523639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16363.52170675351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16363.62176827064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16363.72182978776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16363.82189130489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16363.92195282201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16364.02201433914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16364.12207585626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16364.22213737339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16364.32219889052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16364.42226040764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16364.52232192477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16364.62238344189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16364.72244495902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16364.82250647614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16364.92256799327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16365.02262951039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16365.12269102752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16365.22275254464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16365.32281406177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16365.42287557889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16365.52293709602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16365.62299861314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16365.72306013027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16365.82312164739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16365.92318316452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16366.02324468164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16366.12330619877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16366.22336771589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16366.32342923302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16366.42349075014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16366.52355226727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16366.6236137844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16366.72367530152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16366.82373681865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16366.92379833577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16367.0238598529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16367.12392137002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16367.22398288715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16367.32404440427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16367.4241059214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16367.52416743852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16367.62422895565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16367.72429047277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16367.8243519899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16367.92441350702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16368.02447502415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16368.12453654127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16368.2245980584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16368.32465957552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16368.42472109265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16368.52478260978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16368.6248441269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16368.72490564403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16368.82496716115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16368.92502867828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16369.0250901954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16369.12515171253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16369.22521322965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16369.32527474678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16369.4253362639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16369.52539778103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16369.62545929815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16369.72552081528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16369.82558233241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16369.92564384953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16370.02570536666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16370.12576688378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16370.22582840091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16370.32588991803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16370.42595143516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16370.52601295228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16370.62607446941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16370.72613598653,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16370.82619750366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16370.92625902078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16371.02632053791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16371.12638205503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16371.22644357216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16371.32650508928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16371.42656660641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16371.52662812353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16371.62668964066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16371.72675115778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16371.82681267491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16371.92687419204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16372.02693570916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16372.12699722629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16372.22705874341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16372.32712026054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16372.42718177766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16372.52724329479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16372.62730481191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16372.72736632904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16372.82742784616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16372.92748936329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16373.02755088041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16373.12761239754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16373.22767391466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16373.32773543179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16373.42779694891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16373.52785846604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16373.62791998316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16373.72798150029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16373.82804301742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16373.92810453454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16374.02816605167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16374.12822756879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16374.22828908592,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16374.32835060304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16374.42841212017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
