Time (s), C00, C01, C02, C03, C04, C05, C06, C08, C09, C10, C11, C12, C13, C14, C15, C16, C18, C19
519944.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519944.1670615349,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
519944.2671230698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519944.3671846048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519944.4672461397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519944.5673076746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519944.6673692096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519944.7674307445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519944.8674922794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519944.9675538143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519945.0676153493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519945.1676768842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519945.2677384191,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
519945.3677999541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519945.467861489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519945.5679230239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519945.6679845589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519945.7680460938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519945.8681076287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519945.9681691636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519946.0682306986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519946.1682922335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519946.2683537684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519946.3684153034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519946.4684768383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519946.5685383732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519946.6685999081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519946.7686614431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519946.868722978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519946.9687845129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519947.0688460479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519947.1689075828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519947.2689691177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519947.3690306526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519947.4690921876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519947.5691537225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519947.6692152574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519947.7692767924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519947.8693383273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519947.9693998622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519948.0694613971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519948.1695229321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519948.269584467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519948.3696460019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519948.4697075369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519948.5697690718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519948.6698306067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519948.7698921416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519948.8699536765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519948.9700152115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519949.0700767464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519949.1701382814,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
519949.2701998163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519949.3702613512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519949.4703228861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519949.570384421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519949.670445956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519949.7705074909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519949.8705690259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519949.9706305608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519950.0706920957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519950.1707536306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519950.2708151655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519950.3708767005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519950.4709382354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519950.5709997704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519950.6710613053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519950.7711228402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519950.8711843751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519950.97124591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519951.071307445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519951.1713689799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519951.2714305149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519951.3714920498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519951.4715535847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519951.5716151196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519951.6716766545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519951.7717381895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519951.8717997244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519951.9718612593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519952.0719227943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519952.1719843292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519952.2720458641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519952.372107399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519952.472168934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519952.5722304689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519952.6722920038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519952.7723535388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519952.8724150737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519952.9724766086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519953.0725381435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519953.1725996785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519953.2726612134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519953.3727227483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519953.4727842833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519953.5728458182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519953.6729073531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519953.772968888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519953.873030423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519953.9730919579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519954.0731534928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519954.1732150278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519954.2732765627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519954.3733380976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519954.4733996326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519954.5734611675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519954.6735227024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519954.7735842373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519954.8736457723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519954.9737073072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519955.0737688421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519955.1738303771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519955.273891912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519955.3739534469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519955.4740149818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519955.5740765168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519955.6741380517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519955.7741995866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519955.8742611216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519955.9743226565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519956.0743841914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519956.1744457263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519956.2745072612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519956.3745687962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519956.4746303311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519956.5746918661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519956.674753401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519956.7748149359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519956.8748764708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519956.9749380057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519957.0749995407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519957.1750610756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519957.2751226106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519957.3751841455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519957.4752456804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519957.5753072153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519957.6753687502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519957.7754302852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519957.8754918201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519957.9755533551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519958.07561489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519958.1756764249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519958.2757379598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519958.3757994947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519958.4758610297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519958.5759225646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519958.6759840996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519958.7760456345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519958.8761071694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519958.9761687043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519959.0762302392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519959.1762917742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519959.2763533091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519959.376414844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519959.476476379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519959.5765379139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519959.6765994488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519959.7766609837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519959.8767225187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519959.9767840536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519960.0768455885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519960.1769071235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519960.2769686584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519960.3770301933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519960.4770917282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519960.5771532632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519960.6772147981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519960.777276333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519960.877337868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519960.9773994029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519961.0774609378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519961.1775224727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519961.2775840077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519961.3776455426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519961.4777070775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519961.5777686125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519961.6778301474,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
519961.7778916823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519961.8779532172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519961.9780147522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519962.0780762871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
