 Time,C07,C08,C15,C19,C21,C24,C25,C31,C33,C36,C37,C45,C46,C50,C51,C55,C56,C57,C62,C65
173545.828922652,17.01465,50.57227,83.64613,240.1652,0.0,0.0,100.1214,130.3517,0.0,0.0,0.0,0.0,10.91865,41.659,55.63815,0.0,0.0,0.0,0.0,0.0
173546.028845303,24.44704,86.39127,79.34322,227.4082,0.0,-1.525879e-05,100.3892,122.4274,0.0,0.0,0.0,0.0,48.29771,39.26187,82.00351,1.627373,0.0,0.0,0.0,19.80127
173546.228767955,22.58588,80.76157,70.74707,215.3289,0.0,-1.525879e-05,100.2607,114.9849,0.0,0.0,0.0,0.0,44.16079,37.00266,96.68243,75.62011,0.0,12.685,6.103516e-05,17.48355
173546.428690607,20.86641,82.2664,131.0958,203.8913,0.0,-1.525879e-05,95.14015,107.9948,0.0,0.0,0.0,0.0,40.37822,34.87347,91.46332,67.92178,0.0,11.99301,11.69702,15.43711
173546.628613258,19.27785,86.30657,116.8927,193.0611,0.0,-1.525879e-05,99.45033,101.4297,0.0,0.0,5.179245,0.0,36.91964,48.72992,112.062,70.10712,1.525879e-05,11.33878,10.99075,13.63021
173546.82853591,17.81022,96.52689,104.2284,182.8062,0.0,-1.525879e-05,94.37122,109.3547,0.0,0.0,9.172028,0.0,33.7573,50.12852,161.1776,62.97003,0.0,50.29605,79.74896,12.03481
173547.028458561,35.45904,90.23669,116.1545,173.096,0.0,-7.629395e-06,89.55148,110.218,0.0,0.0,8.655594,0.0,30.86584,78.16675,179.6529,56.55952,5.417618,92.60791,96.56058,65.24523
173547.228381213,105.9759,84.3564,103.5702,163.9016,0.0,0.0,134.0337,105.2327,0.0,0.0,26.96988,0.0,28.22204,73.66893,169.9548,50.80161,5.047409,87.55597,116.9964,57.60834
173547.428303865,97.90793,78.8593,92.34926,155.1956,0.0,19.47552,128.3698,105.5227,0.0,0.0,35.89188,0.0,25.80469,105.0441,160.7803,47.53664,14.28888,82.7796,131.906,50.86534
173547.628226516,90.45419,73.72041,93.3563,146.9521,0.0,78.8716,146.8485,131.6157,0.0,0.0,44.86311,0.0,53.8282,131.7367,152.1011,42.69728,13.31252,175.8132,190.3492,44.9116
