 Time,C07,C08,C15,C19,C21,C24,C25,C31,C33,C36,C37,C45,C46,C50,C51,C55,C56,C57,C62,C65
248525.328922,0.0,0.0,16.59989,0.0,68.61224,7.18082,0.0,0.0,60.71166,1.417938,0.0,0.0,4.025192,257.3915,117.1285,0.0,0.0,0.0,4.133148,61.05809
248525.528844,48.57435,7.629395e-06,15.43732,0.0,63.81693,7.926414,3.814697e-06,11.25983,64.06608,77.80746,0.0,0.0,3.706692,287.5088,114.4514,22.8853,0.0,0.0,3.877747,54.49057
248525.728766,42.67701,7.629395e-06,14.35616,-1.525879e-05,59.35677,7.494907,1.907349e-06,23.4834,68.68395,86.3817,0.0,0.0,3.413395,263.6126,110.0254,32.37047,0.0,0.0,4.481667,48.62947
248525.928688,37.49566,7.629395e-06,13.35073,40.48198,56.91055,7.086893,3.814697e-06,21.63116,63.98186,77.20765,62.2626,0.0,3.143307,241.7026,111.8256,29.18143,0.0,-3.814697e-06,15.68381,43.3988
248526.12861,58.08579,3.814697e-06,12.41571,37.26846,52.93307,23.33198,3.814697e-06,19.92502,59.60168,69.00792,69.28982,7.629395e-06,2.894588,221.6136,100.069,26.30656,0.0,-3.814697e-06,14.71462,61.24928
248526.328532,51.03368,7.629395e-06,11.54618,34.31003,49.23357,34.09895,3.814697e-06,18.35349,55.52137,61.67903,76.18932,-7.629395e-06,2.66555,203.1943,129.8734,50.46852,113.4272,-3.814697e-06,13.80533,54.6612
248526.528454,44.83775,3.814697e-06,10.73755,31.58644,45.79264,32.24263,3.814697e-06,56.14258,51.72039,55.1285,104.5477,14.14905,52.6426,186.3059,128.6752,58.9485,300.0208,-3.814697e-06,12.95222,48.78175
248526.728376,39.39407,3.814697e-06,54.35551,57.27147,42.59219,30.48738,3.814697e-06,76.50604,48.17962,49.27366,101.3315,12.69346,48.4772,170.8212,145.5197,144.1544,313.5809,-3.814697e-06,12.15184,55.49168
248526.928298,34.61129,3.814697e-06,67.7469,52.72517,39.61543,28.82768,1.907349e-06,70.47176,44.88126,44.04062,101.8278,11.38761,44.6414,156.6235,130.2207,129.9528,278.1844,-3.814697e-06,11.40091,49.52289
248527.12822,49.41618,5.722046e-06,63.00225,76.94449,36.8467,27.25833,1.907349e-06,96.61349,41.8087,43.97729,91.67498,10.21611,41.1091,143.6058,136.9639,309.653,246.7834,-3.814697e-06,10.69639,44.19612
248527.328142,44.95112,3.814697e-06,58.58989,70.83652,97.20964,25.77441,13.05013,152.3428,38.94648,62.1707,120.1122,17.70292,37.85631,131.6701,122.5645,430.9172,227.4041,-3.814697e-06,10.0354,39.44231
248527.528064,39.49367,3.814697e-06,54.48655,65.21341,90.41565,24.37128,17.08906,218.5472,36.28022,63.53699,108.1363,15.88173,34.86089,120.7264,109.6789,402.7148,236.0139,-1.907349e-06,9.415264,35.19982
248527.727986,34.6988,3.814697e-06,50.67059,78.26229,84.0965,23.04454,15.6383,201.3096,33.79648,56.78913,102.0877,18.90594,32.10249,110.6923,98.14795,375.3525,520.5025,-1.907349e-06,8.833447,61.8971
248527.927908,30.48607,1.907349e-06,47.12188,72.04971,78.219,21.79002,14.31069,185.4315,31.48278,50.75793,113.7557,17.57957,29.56235,101.4921,87.82933,379.1512,679.4428,-1.907349e-06,8.287582,66.09392
248528.12783,46.6116,1.907349e-06,77.32974,88.09248,72.75227,24.06123,13.09579,170.8058,29.32748,46.18262,153.5926,15.77106,27.2232,93.05669,78.59555,367.0894,602.7485,-1.907349e-06,7.775452,58.98474
248528.327752,65.8223,1.907349e-06,71.91396,110.5929,132.1361,22.75136,11.98404,157.3338,27.31973,41.27787,138.2785,14.14861,29.78176,85.32232,70.33253,330.9249,534.7112,-1.907349e-06,7.294966,52.64024
248528.527674,57.83091,1.907349e-06,66.87746,101.8139,179.7407,21.5128,74.34412,228.2098,59.9154,68.6823,124.4913,20.6963,27.42525,78.2308,62.93824,390.3823,568.0939,-9.536743e-07,6.844173,46.97816
248528.727596,50.80975,1.907349e-06,62.1937,93.73174,171.3885,20.34167,78.15302,435.8076,78.76287,61.388,112.0787,57.63032,59.31229,71.72868,56.32134,429.3829,547.143,-9.536743e-07,6.421236,41.92511
248528.927518,44.64101,1.907349e-06,68.06376,131.4005,159.4102,19.23429,116.9739,449.9937,92.82202,54.86838,100.9038,51.70159,54.61915,106.6784,50.40009,387.0815,490.926,-9.536743e-07,6.024435,37.41557
248529.12744,49.25601,1.907349e-06,104.3082,120.9697,148.269,18.18719,383.4798,414.5011,86.46745,49.04116,90.84309,46.38277,50.29736,144.1855,120.6965,348.9475,435.5111,-1.907349e-06,22.68033,33.39108
248529.327362,43.27591,1.907349e-06,125.9023,111.3669,137.9065,17.1971,392.858,381.8079,80.5479,43.83282,81.78548,41.61114,46.31753,132.2016,108.0073,314.5704,386.3513,-9.536743e-07,21.2788,29.79948
248529.527284,56.88921,9.536743e-07,117.0847,102.5264,128.2682,16.26091,359.5066,351.6932,75.03362,39.17762,73.63098,37.33038,42.65261,124.8901,96.65212,283.5799,342.7406,-9.536743e-07,24.39349,47.96972
248529.727206,49.98237,9.536743e-07,108.8847,94.38773,119.3035,15.37568,328.9865,323.9539,78.97011,35.01682,66.28953,33.49001,39.27769,121.0981,119.7819,255.6426,304.0526,-9.536743e-07,47.17601,70.07716
248529.927128,43.91409,1.907349e-06,101.2589,166.6015,110.9654,14.53865,421.5471,298.4025,73.56384,31.29791,59.68006,30.04471,36.1698,133.1641,107.1889,230.4575,269.7317,-1.430511e-06,44.26076,62.53954
248530.12705,38.58254,1.907349e-06,94.16727,153.3764,103.21,13.74718,479.3582,274.8664,68.52767,27.97396,53.7296,26.95385,33.30783,149.5961,112.7032,207.7536,239.2848,-1.430511e-06,41.52566,55.81268
248530.326972,33.89829,1.907349e-06,87.57227,141.2012,95.99668,12.9988,438.6634,253.1866,63.83628,25.00303,48.37243,24.18097,30.67232,194.5081,100.8544,187.2864,212.2748,-9.536743e-07,38.95957,51.67038
248530.526894,29.78275,1.907349e-06,81.43915,129.9924,89.28747,12.29116,401.4233,261.7761,59.46607,35.85851,91.83381,21.73953,28.24534,178.3417,90.25121,168.8356,188.3136,-9.536743e-07,36.55206,46.11262
248530.726816,26.16687,1.430511e-06,75.73556,119.6734,83.04716,26.83693,367.3447,251.4019,55.39503,32.05022,82.67742,46.08804,28.83289,163.5189,80.7628,152.2024,167.057,-9.536743e-07,34.29332,41.15266
248530.926738,22.98999,1.907349e-06,70.43142,110.1736,77.243,25.37596,336.1592,241.5328,51.6027,28.64637,74.43398,41.34673,58.2583,149.9281,72.27193,143.408,148.1999,11.78447,32.17416,36.72621
248531.12666,20.19881,1.430511e-06,65.49875,166.6954,71.84447,23.99451,307.6212,222.4822,48.07,33.52422,76.36691,37.09317,53.64856,137.4669,64.67375,157.5301,131.4714,21.90366,30.18595,32.77588
248531.326582,17.7465,1.430511e-06,88.80379,153.4629,98.29002,22.68828,281.5059,204.9342,44.77914,37.18574,68.75267,33.27719,88.69484,157.2668,57.87439,142.0108,116.6311,20.33028,28.3206,77.95359
248531.526504,15.59193,1.430511e-06,82.58441,141.2808,91.42053,21.45315,257.6076,188.7703,41.71357,33.23648,76.78948,76.84031,115.5503,150.4469,103.1381,128.0203,103.466,18.86992,26.57053,69.56876
248531.726426,13.69893,1.430511e-06,76.80061,130.0657,85.03115,20.28526,235.7382,202.7796,38.85787,29.70666,88.0807,68.93534,106.4073,137.9426,92.29486,115.4082,91.78691,17.51447,24.9286,62.08582
248531.926348,12.03577,1.430511e-06,102.6765,119.7409,79.08833,19.18096,215.7254,276.5511,36.19767,26.5517,79.29853,61.8436,97.98772,126.4775,82.5916,104.0386,81.42616,16.25637,23.38813,55.40776
248532.12627,10.57452,9.536743e-07,95.48552,110.2356,73.56084,18.13676,197.4115,288.9208,34.25774,23.73182,71.39199,55.48142,97.62585,115.9654,73.90847,93.78902,72.23491,15.08865,21.94286,49.44801
248532.326192,9.290685,1.192093e-06,88.79819,101.485,68.41967,17.14942,180.6524,266.1326,37.55309,39.37201,64.27378,49.77375,89.90112,106.327,66.13823,140.9811,64.08115,14.0048,20.58689,66.38803
248532.526114,8.162717,1.192093e-06,82.57922,93.42892,63.63782,16.21582,165.316,245.1417,34.98222,35.19056,57.86529,44.65326,103.34,112.7034,59.1849,164.8408,56.84778,12.99881,19.31472,59.24722
248532.726036,7.171694,1.192093e-06,92.5937,86.01239,59.19017,15.33305,151.2816,225.8065,32.58734,97.96712,52.09577,40.05954,95.16312,166.7059,52.96259,148.6012,50.4309,12.06509,18.12116,52.87448
248532.925958,6.300989,1.192093e-06,86.10891,161.7994,55.05337,14.49834,188.0614,232.9384,30.35642,87.56268,46.90151,35.93841,87.63324,152.8502,47.39446,137.5719,44.73835,11.19843,17.00136,47.18721
248533.12588,5.535995,1.192093e-06,80.07828,148.9555,51.20569,13.70906,172.0961,237.0593,28.27823,78.26321,42.22514,45.7358,80.69918,140.1461,60.34763,137.3069,39.68836,10.39403,15.95076,42.11167
248533.325802,4.863878,9.536743e-07,74.46999,173.6968,47.62692,12.96276,157.4861,338.6059,62.05487,108.1842,38.01504,41.03071,74.31378,128.498,76.25784,164.0883,35.2084,9.647408,14.96508,37.58207
248533.525724,4.273362,9.536743e-07,118.3304,232.9574,44.29827,38.38941,144.1164,479.1436,149.4239,221.8308,80.27299,36.80967,138.3351,140.1542,68.2406,167.4036,31.23414,8.954418,14.04031,110.7334
248533.725646,3.754539,9.536743e-07,150.9194,214.4648,41.20227,36.29953,131.8817,568.5704,144.06,198.2716,72.26929,64.35205,142.1707,150.2713,69.21986,181.2216,27.70848,8.311207,13.17269,115.2949
248533.925568,3.298707,7.152557e-07,140.3497,318.4366,38.32264,34.32342,120.6857,528.8156,134.1977,177.2145,65.06361,57.73181,141.0589,161.0275,98.35065,163.3683,24.58079,7.714198,12.35868,102.8935
248534.12549,2.898215,7.152557e-07,153.203,293.1585,48.61188,32.45489,110.4402,522.2502,125.0105,158.3937,98.06825,51.79264,156.0266,168.7015,105.5763,147.2738,21.80615,7.160075,11.59497,91.82613
248534.325412,2.546347,5.960464e-07,142.4734,269.8871,45.2144,30.68808,101.0644,516.3675,116.4523,141.5717,88.29025,46.46445,143.6808,154.6799,94.47668,132.7649,19.34471,6.645754,10.87846,81.94914
248534.525334,2.237199,5.960464e-07,182.9615,248.4631,42.05436,29.01746,92.48464,488.8845,108.48,126.5363,79.48717,41.68441,165.2418,164.697,112.9056,119.6853,17.16111,6.168378,10.20622,73.13454
248534.725256,1.965584,4.768372e-07,170.1478,228.7397,39.11518,27.43777,89.4253,521.4495,101.0535,113.0977,71.56182,37.39611,160.3015,151.0083,101.0354,209.4625,15.22399,5.725293,49.76533,65.26807
248534.925178,1.726945,3.576279e-07,158.2315,210.582,36.38142,27.33412,81.8336,545.1486,94.13542,169.9673,64.42667,45.90326,152.4013,138.4573,136.2946,202.4608,13.50554,5.314035,46.69007,58.24772
248535.1251,1.517279,2.384186e-07,147.1497,193.8656,33.83872,26.6516,76.9864,502.1507,87.69093,151.9161,58.00294,41.18095,140.3424,126.9495,121.9655,224.6337,11.98105,4.932319,43.80485,51.98249
248535.325022,1.333069,3.576279e-07,136.8441,306.7721,31.47373,25.20071,70.45068,467.5004,81.68764,135.7821,52.2197,54.99381,138.4826,116.3982,109.1429,202.5035,79.91174,4.578022,41.09792,46.39116
248535.524944,1.171223,2.980232e-07,127.2602,325.3086,50.48259,33.4068,64.46982,457.9184,76.09532,121.3616,47.01308,99.40432,127.525,106.7238,139.3777,182.5536,75.28079,4.249175,38.55827,41.40125
