 Time,C07,C08,C15,C19,C21,C24,C25,C31,C33,C36,C37,C45,C46,C50,C51,C55,C56,C57,C62,C65
0.199922,22.37492,101.0687,0.0,264.8102,94.64367,12.16293,61.00998,38.68275,0.0,131.6996,0.0,0.0,25.39375,34.10382,125.9431,14.12935,0.0,23.42773,4.567871,35.4997
0.399844,35.08989,117.4571,0.0,334.2986,85.35671,61.90549,58.03757,53.905,0.0,121.1711,-6.103516e-05,30.67326,23.5205,151.8117,129.5208,40.3098,0.0,22.09941,22.6384,32.11115
0.599766,92.73541,157.4907,1.525879e-05,372.3988,76.98106,91.02129,55.20999,50.6698,0.0,111.4844,-6.103516e-05,89.46121,21.78544,328.7376,194.2647,61.16376,0.0,20.8464,117.616,29.04605
0.799688,154.8821,180.1588,0.0,403.3143,69.42726,107.4437,52.52014,47.62876,1.525879e-05,102.572,1.847229,81.66015,20.17837,417.9332,198.7153,83.81026,0.0,19.66444,141.3889,26.27353
0.99961,143.2727,171.1098,1.525879e-05,436.787,62.61469,114.3968,49.9614,221.8468,0.0,94.37212,5.637878,74.53934,18.68985,420.2932,284.1137,101.9935,93.94975,26.60841,133.6583,23.76565
1.199532,132.5334,179.8811,27.95457,416.5789,56.4706,119.4591,47.52725,229.4604,0.0,86.82776,5.343323,68.03946,17.31113,406.73,274.8505,112.7633,84.17017,25.09975,126.3503,21.49715
1.399454,122.5992,219.0882,36.00078,396.0718,50.9294,112.3125,45.21176,215.689,0.0,79.88651,8.536865,62.10638,16.03412,385.9717,268.5306,115.4037,174.0942,23.67663,119.4419,19.44519
1.599376,113.4096,208.0838,68.0218,441.6118,45.93193,135.4243,59.1441,202.744,10.05305,78.54561,10.80048,56.69066,14.85132,366.2728,283.3074,137.2046,205.0185,22.3342,132.567,17.58909
1.799298,104.9089,197.6322,76.25015,453.4785,41.42484,142.5425,56.26263,190.576,42.10702,94.57754,10.23618,51.7472,13.75576,347.5793,281.9203,128.7627,184.9779,21.06788,125.3187,44.11439
1.99922,97.04527,198.5875,69.15092,515.2104,37.36001,134.015,55.0744,179.1382,47.72634,92.806,13.74139,47.23481,12.74103,337.5937,266.418,120.8402,179.1955,19.87336,118.4667,72.01292
2.199142,89.7711,196.851,62.71266,517.817,33.69404,125.9977,52.3912,168.387,44.72981,109.2297,22.13367,43.11591,11.80115,320.3639,251.7682,113.4052,160.5423,18.74657,111.9893,65.13908
2.399064,83.04218,186.9636,70.57845,501.8129,30.3878,118.46,49.8387,158.2809,41.92142,116.1528,20.97726,39.35618,10.9306,340.1219,305.9037,106.4276,143.8309,17.68366,105.8661,58.92138
2.598986,76.81763,177.5728,64.00729,536.5513,27.40598,111.3732,54.64699,148.7814,51.26387,106.8673,19.88129,35.92429,10.12427,325.6058,312.2022,99.87935,128.859,20.67304,100.0778,53.29716
2.798908,71.05966,168.6536,59.60846,523.0197,24.71676,104.7103,51.98459,139.8521,57.40269,134.0121,18.84259,32.79167,9.377424,336.6615,315.1013,93.73399,115.4456,22.36139,122.895,48.2098
2.99883,65.73328,196.6945,54.05864,519.1813,51.71212,166.1916,64.20615,131.4586,70.86006,125.6763,17.85812,29.93222,8.685669,553.0463,297.7744,87.96674,103.4284,23.53864,116.1755,43.60804
3.198752,60.80616,204.7842,51.22493,520.9006,46.63785,200.0186,61.66034,123.5689,66.41107,115.6294,25.81308,27.32211,8.044943,793.2942,293.9688,82.55434,92.66217,40.97132,192.2597,81.77027
3.398674,56.24835,238.8324,71.40331,502.9769,42.06149,188.0526,108.342,116.1527,86.10767,106.3857,24.46445,24.93961,7.451483,830.4478,277.804,77.47495,98.83752,38.6483,221.3043,73.96507
3.598596,52.03218,229.4514,64.75533,526.0932,37.93419,203.0755,128.0754,109.1816,80.70134,97.88089,23.18628,22.76486,6.9018,827.8583,287.6842,72.70808,88.54916,36.457,225.7635,66.9049
3.798518,48.13203,242.0095,58.72632,571.3243,34.21188,190.9266,125.7265,102.6289,75.63446,90.05602,21.97488,20.77975,6.392669,811.7393,281.4811,68.23451,79.33174,34.38993,234.7835,60.51864
3.99844,44.52423,257.574,53.25863,567.9042,30.85483,179.5046,121.6892,96.46943,83.9693,82.85669,20.82681,18.96775,5.921095,770.3104,348.3554,64.03619,71.07381,32.44007,221.9463,54.74197
4.198362,41.18685,255.1702,48.30001,561.3685,27.82719,168.7659,127.9257,90.67966,81.69664,110.4078,40.40184,17.31375,5.484305,747.9481,365.7813,60.09619,63.67547,30.60076,209.811,49.5167
4.398284,38.09963,242.3535,87.09265,554.038,25.09663,158.6696,124.6801,85.23736,76.56726,101.5815,38.291,15.80398,5.07974,732.3403,358.2989,56.3986,76.32113,34.07437,198.3393,44.79019
4.598206,35.24382,372.1574,78.98393,534.1537,22.63402,202.7312,133.1863,80.12169,129.5515,159.9693,36.29044,14.42586,4.705018,694.9637,512.0994,52.92852,73.67786,46.18711,187.4948,40.51484
4.798128,32.60207,391.1152,71.63017,507.8587,20.41304,190.603,126.6975,75.31306,121.4175,150.5729,36.04559,13.16792,59.24244,683.5794,573.2646,49.67195,66.00846,43.56837,199.0368,36.64759
4.99805,30.15833,371.4702,64.96109,534.5053,18.41001,286.8045,120.5248,70.79302,113.7942,156.8259,34.16235,12.01967,54.87224,673.123,541.7418,46.61574,90.17059,41.09811,202.1915,33.14947
5.197972,27.89777,376.9288,92.80258,825.7859,16.60352,419.5014,131.6149,66.54425,106.6496,168.6869,109.9317,10.97155,54.6051,638.7688,549.5806,43.74758,114.4907,38.7679,217.302,29.98526
5.397894,25.80665,386.5578,88.52422,862.1081,14.97429,400.2594,125.2027,62.55048,99.95352,155.2016,104.1882,29.379,85.52611,632.7335,537.6937,41.05588,117.002,36.56982,219.2619,27.12309
5.597816,23.87228,376.601,105.9867,858.192,13.50493,423.8639,119.1029,106.8819,98.74531,163.2802,98.74483,76.8213,79.21701,608.7621,518.2231,38.5298,146.7913,34.49635,226.0618,24.53411
5.797738,22.0829,357.685,96.11886,837.7721,19.11696,398.5065,113.3002,100.4672,92.54552,204.9611,93.58582,70.12244,73.37332,577.6927,580.3749,36.15915,131.5113,32.54046,254.8516,22.19226
5.99766,20.42764,358.2587,107.6081,821.5778,32.55316,393.3969,107.7803,94.4375,86.73499,188.5759,96.03334,64.00772,67.96071,563.1714,608.9686,33.93436,117.8218,48.90207,240.9172,20.07395
6.197582,18.89646,349.5823,108.1754,782.1932,53.78265,410.3446,127.2594,88.76968,85.65292,173.5007,91.94678,58.42621,62.94738,611.1569,633.34,31.84645,105.5573,46.12939,233.7255,18.15784
6.397504,65.68439,351.3642,106.5038,815.7861,48.5052,399.9936,149.0319,83.44202,80.27514,159.6305,87.14293,53.33141,78.63612,757.7047,604.5134,29.88701,94.56941,43.51392,272.3183,65.50162
6.597426,86.08512,333.7159,106.5829,796.8145,43.74561,401.0327,141.7711,78.4341,75.23502,146.8692,82.59007,48.68088,72.83529,762.3876,615.1477,28.04812,84.72533,47.50317,298.6257,105.2469
6.797348,88.24291,323.8128,108.05,757.6532,45.81195,377.0413,134.864,73.72675,73.86542,135.1281,84.39577,44.43588,67.46236,739.5805,609.7789,26.32238,75.90595,44.8098,282.2979,95.20076
6.99727,93.98229,307.5483,112.2768,751.7744,41.31664,378.2578,128.2935,69.30191,69.22772,124.3256,106.6753,40.56105,62.4858,725.2484,641.5807,55.98506,68.00462,42.26915,314.1186,86.11358
7.197192,86.93771,329.2092,111.8173,756.9462,37.26242,355.6288,122.0431,137.6758,84.67068,125.9375,129.4249,37.0241,57.87634,697.0441,606.3013,52.54042,60.92576,39.87254,324.9532,77.8938
7.397114,80.42117,316.4474,139.3394,759.2077,33.60603,377.2289,116.0972,129.4129,79.35458,157.2524,142.6305,33.79557,53.60691,762.6816,620.8025,72.18108,54.58377,52.63889,338.1592,70.45862
7.597036,74.39308,314.1136,126.3663,759.1821,31.48657,386.2711,110.4409,121.646,74.37225,144.6812,153.4398,30.84858,49.65244,881.3625,613.0876,67.73993,48.90194,49.65434,371.8575,63.73315
