 Time,C07,C08,C15,C19,C21,C24,C25,C31,C33,C36,C37,C45,C46,C50,C51,C55,C56,C57,C62,C65
165964.167922,26.5079,119.509,35.32092,17.01953,0.0,30.23166,24.63187,37.66711,0.0,0.0,86.84035,23.25089,0.0,0.0,0.0,0.0,74.1859,2.749229,0.0,69.50807
165964.367844,24.01822,125.7201,31.9012,16.02173,0.0,35.89645,23.22174,35.19586,9.078125,0.0,80.17363,21.68048,0.0,0.0,22.68863,0.0,87.55161,2.597321,-0.0001220703,62.17763
165964.567766,24.50368,118.1549,28.81255,15.08243,33.86264,33.42178,22.36282,32.88684,15.08197,11.9052,87.33926,20.21614,0.0,0.0,32.59424,0.0,78.35057,2.453796,-0.0001220703,80.93771
165964.767688,22.20224,120.8628,60.44334,19.39557,38.16692,42.54471,39.69931,30.72922,14.09644,25.83628,80.63425,18.85069,0.0,7.682014,97.78894,0.0,104.1971,34.42323,80.87292,72.40189
165964.96761,20.11695,125.1809,115.04,18.25845,43.18277,39.61171,81.84415,59.1843,35.97517,31.39704,97.29678,17.57748,-7.629395e-06,23.48218,112.1303,20.16286,103.9626,33.21193,76.13831,82.28057
165965.167532,18.22752,123.2624,103.9019,30.42569,82.3108,59.26778,144.4842,76.80396,52.72488,34.7148,123.568,16.39026,3.15863,21.85875,105.7814,17.9295,121.8752,44.38718,125.2781,73.60313
165965.367454,16.51555,164.5721,182.6575,28.64191,88.38344,133.2734,344.3641,140.5915,95.32767,30.19079,181.8197,15.28325,2.919853,68.09492,141.7408,33.52843,149.2922,41.93453,211.6422,65.84081
165965.567376,17.28365,154.6689,164.9728,26.96271,102.9097,159.6241,459.7613,265.7998,105.6485,26.25635,175.1836,14.25099,35.16912,175.8971,133.7152,35.89247,146.8658,39.6174,199.2517,58.89711
165965.767298,23.26577,145.3617,149.0004,25.38193,97.98101,174.5357,533.4159,316.3711,98.74493,52.62688,161.7348,13.28847,32.51056,232.8077,167.4611,45.82642,152.1132,37.42831,225.4216,52.68571
165965.96722,21.08059,136.6146,134.5744,23.89384,107.8655,188.8802,502.8788,358.66,100.4142,60.5307,149.3185,12.39094,72.65366,226.5415,208.9977,49.92659,154.3489,35.36018,275.3635,47.12939
165966.167142,19.10065,128.3938,128.8571,22.49301,96.63013,239.8316,538.7288,425.7227,104.2916,52.64238,137.8553,11.55402,81.64688,210.8797,204.0258,44.39644,157.0326,33.40633,317.5209,42.15904
165966.367064,32.09721,120.6677,116.3813,51.59525,98.70373,230.4058,507.8875,397.7924,97.47667,45.78207,127.2722,10.77365,75.47488,199.6284,203.2748,48.89213,168.2185,31.56044,348.9924,96.88022
165966.566986,29.08257,113.4065,105.1134,61.65938,94.17783,214.5218,478.8119,371.6945,91.10709,39.81578,117.5016,43.94913,69.76945,185.8271,231.2934,43.47656,155.6067,29.81654,387.1828,118.4792
165966.766908,26.35107,106.5823,125.0399,60.95026,118.6292,244.0147,495.7455,364.1298,100.07,34.62702,122.885,40.98074,64.49533,181.5527,254.6562,44.35202,178.6288,28.169,364.5155,105.9842
165966.96683,29.5129,112.5306,123.665,57.37689,123.2819,261.3248,498.2335,366.4998,104.7197,36.00241,132.6785,38.21283,59.61988,169.0011,253.9167,39.43935,182.6437,26.61251,366.8427,94.80688
165967.166752,26.74097,130.7484,138.9709,65.4861,110.4408,288.8855,469.7105,419.5056,103.0819,31.3106,144.973,35.63187,55.113,157.3173,331.4886,41.31086,172.8936,25.14201,377.5925,84.80838
165967.366674,49.48195,122.8806,125.5159,61.6468,98.93716,268.97,442.8205,548.3492,96.34607,27.23022,133.8435,33.22523,50.9468,146.4413,350.9815,52.08902,178.9004,23.75277,389.5802,75.86434
165967.566596,44.8345,117.3611,113.3636,60.34084,88.63177,250.4275,438.2713,512.3737,124.5746,29.82255,123.5683,46.95826,47.09554,142.3948,331.1086,46.31935,160.0992,22.44029,415.9279,67.86356
