 Time,C07,C08,C15,C19,C21,C24,C25,C31,C33,C36,C37,C45,C46,C50,C51,C55,C56,C57,C62,C65
246711.937922385,0.0,0.0,67.17332,0.0,34.27676,0.0,2.690849,0.0,19.73453,0.0,0.0,0.0,28.26081,0.0,0.0,0.0,0.0,8.950256,0.0,0.0
246712.13784477,0.0,0.0,92.14342,0.0,34.17592,0.0,19.00299,0.0,18.31952,-3.051758e-05,6.995537,0.0,25.74567,1.525879e-05,-1.525879e-05,3.108166,0.0,95.55223,9.583588,0.0
246712.337767155,31.33947,-3.051758e-05,86.95921,0.0,59.06358,3.814697e-06,37.63792,0.0,17.00598,0.0,18.36863,0.0,37.66536,1.525879e-05,-1.525879e-05,2.774719,-7.629395e-06,125.1314,8.949585,0.0
246712.537689539,27.7114,-3.051758e-05,82.06668,0.0,60.15345,3.814697e-06,43.5301,-6.103516e-05,15.78662,27.44609,16.77691,0.0,34.31325,23.17319,-1.525879e-05,14.26328,-3.814697e-06,125.2234,8.357536,-1.907349e-06
246712.737611924,31.22514,38.67255,77.44943,19.46339,56.15855,7.629395e-06,67.13648,0.0,14.65469,25.89569,15.32312,0.0,31.25946,102.9129,0.0,117.909,1.834282,147.4235,7.804642,-1.907349e-06
246712.937534309,27.6103,89.22134,94.56847,21.08342,52.42899,3.814697e-06,80.99448,63.83075,13.60393,24.43285,13.99531,50.22228,28.47745,162.3436,6.181793,237.4968,1.646675,161.6163,7.288338,7.116426
246713.137456694,24.41394,82.71129,89.24783,42.23317,48.94711,1.907349e-06,74.25896,132.6921,19.99461,23.05266,18.5909,53.11338,25.94304,356.3408,5.65657,212.0179,15.77962,162.7324,77.39789,45.30883
246713.337379079,21.58762,105.2363,94.36716,55.67564,45.69646,3.814697e-06,68.08356,153.9879,28.39658,48.2321,25.24465,78.9938,23.63417,402.8782,15.68439,217.9075,99.70581,183.8931,173.7932,46.8411
246713.537301464,19.08849,97.55769,89.05785,62.703,145.1254,3.814697e-06,91.11945,155.9174,86.6595,50.91928,23.05709,113.0846,21.5308,520.0405,33.94514,194.5302,105.1136,176.2693,246.5785,43.12873
246713.737223848,73.79951,90.43938,122.3745,114.7974,266.487,1.907349e-06,83.54192,815.2269,100.7989,48.04289,21.0591,465.2288,19.61462,513.4871,119.9117,173.6608,118.9169,164.4489,259.349,39.71059
246713.937146233,77.31292,83.84042,132.0527,121.4469,253.3835,1.907349e-06,76.59456,917.3893,145.5187,77.60381,19.23425,464.7943,17.86897,464.1653,106.5944,155.0302,106.7545,174.5906,242.1919,36.56335
246714.137068618,68.36266,77.72296,127.6732,132.2182,236.556,1.907349e-06,70.22493,878.335,135.0847,81.29259,17.56752,422.6858,16.27868,419.5811,102.3671,138.3984,95.83609,162.8828,226.1698,33.66554
246714.336991003,60.44853,72.05188,124.9909,137.6097,220.8459,9.536743e-07,64.385,856.1571,142.9158,129.4258,39.06626,394.1633,14.82992,379.2792,90.99826,123.5509,86.03435,151.9601,211.2077,30.9974
246714.536913388,53.45059,66.79459,117.9586,147.1725,206.1792,1.907349e-06,59.03073,849.5334,151.2025,122.1147,47.10343,357.1012,13.5101,370.3662,80.89206,110.2962,77.23508,141.7698,211.275,28.54071
246714.736835772,47.26279,61.9209,111.3219,141.4094,192.4865,1.907349e-06,54.12172,794.4763,152.0796,115.2165,132.8937,321.9074,12.30773,349.7509,71.90825,98.46348,69.33578,132.2629,197.2982,60.87115
246714.936758157,41.79133,57.40282,105.0587,157.3425,179.7032,1.907349e-06,49.62094,753.6097,141.1752,122.4917,169.6603,308.9913,11.21238,316.1564,70.93861,87.90021,62.24438,123.3936,184.2461,57.17107
246715.136680542,36.95328,53.21439,99.14785,157.8863,167.7689,9.536743e-07,45.49445,758.7441,131.0526,124.5358,160.1107,288.1788,10.21451,285.7887,74.713,78.47017,55.87827,115.119,193.6801,52.64001
246715.336602927,32.67532,49.33159,105.3391,195.1509,156.6271,9.536743e-07,41.71111,719.0945,184.4294,117.5009,167.3582,259.7776,9.305445,258.338,66.41542,83.46142,50.16325,107.3993,192.8891,58.58042
246715.536525312,28.8926,45.73209,99.41249,183.3728,155.4623,9.536743e-07,53.77504,742.1685,190.4062,110.8633,152.8559,234.1755,8.477285,283.9563,76.3782,74.50758,45.03275,100.1972,180.1287,53.93766
246715.736447697,25.5478,42.39523,100.6323,172.3056,150.6491,9.536743e-07,49.30309,691.2786,176.7537,104.6007,139.6103,214.4337,7.722829,305.3372,67.8957,68.50397,40.42697,93.47812,168.2124,49.66286
246715.936370081,22.59021,39.30185,94.97049,183.7744,140.6443,9.536743e-07,47.74086,663.0742,165.4773,98.69191,127.5125,235.7691,7.035519,276.0088,60.35526,61.15479,36.29226,105.7164,157.0844,45.72686
246716.136292466,19.97502,36.43417,113.2233,190.3602,131.3039,9.536743e-07,43.77072,637.9475,153.6122,118.835,116.463,217.6014,6.409376,249.4974,53.65224,144.7618,32.58043,98.62724,146.6925,42.1028
246716.336214851,17.66257,33.77574,106.8531,195.9204,122.5838,15.53072,51.99143,597.8429,150.4808,125.6482,106.371,196.1559,5.838959,225.5325,47.69366,162.5013,29.24823,92.01343,136.9882,38.76597
246716.536137236,15.61784,31.31128,107.3814,184.0959,114.4428,29.52147,47.6678,580.0861,139.691,132.0725,97.15352,176.8239,5.319307,203.8695,42.39684,167.9773,26.25683,85.84313,147.1405,35.69359
246716.736059621,13.80981,29.02664,128.8245,172.9851,106.8425,26.95287,43.70374,545.3819,147.9239,155.1634,88.73476,159.3972,4.845902,184.2873,37.68828,206.3783,23.57138,80.08661,141.2021,44.64256
246716.935982006,23.31388,26.9087,121.5765,162.5449,99.74695,24.60775,40.06932,543.6062,145.0755,173.901,81.04553,143.6879,4.414631,202.082,33.50265,184.2378,21.16059,74.71611,188.315,68.02525
246717.13590439,37.4375,24.94529,114.7363,152.7347,93.13084,132.2911,55.79409,551.2363,134.6733,164.0774,74.0226,173.6414,4.02174,234.5048,52.06893,211.9586,18.99637,69.70576,233.3477,62.63395
246717.335826775,81.40038,23.12515,108.281,143.5166,169.8685,322.9402,61.21888,528.7744,125.0169,172.5407,86.36513,329.8437,3.663816,289.9983,61.78384,255.4765,17.05349,98.69537,324.4316,57.66993
246717.53574916,71.97691,21.43781,123.121,154.9138,167.6973,294.8418,56.1279,488.0103,121.1071,174.6255,78.88123,327.2159,3.337747,262.1432,58.88661,231.176,15.30933,102.337,371.2742,53.09933
246717.735671545,63.64438,19.8736,124.5052,145.5643,156.5602,269.1882,51.46029,466.8795,112.4235,164.761,72.04585,294.9674,10.03503,236.9636,52.34671,206.3752,13.74355,95.47439,355.7502,48.89097
246717.93559393,56.27647,18.42352,122.0462,136.779,146.1629,291.7086,50.52386,434.3385,115.505,194.2039,65.80278,265.8971,9.141937,214.2026,46.53312,184.235,12.33791,89.07201,332.2157,45.01614
246718.135516315,49.76153,17.07924,115.1796,148.1668,136.456,301.3632,46.32228,431.5959,122.839,198.6096,60.10069,239.6919,10.89226,193.6279,52.51862,164.4701,11.07604,83.09897,310.2382,41.44841
246718.335438699,44.0008,15.83304,108.6994,156.9542,127.3937,299.9445,42.47011,398.3235,126.0013,200.1325,54.89272,216.0692,9.922874,175.0294,79.00645,146.8255,9.943224,77.52647,289.7146,38.16344
246718.535361084,38.90697,14.67778,105.1872,156.3954,118.9333,280.3736,38.93829,367.6162,116.9667,188.8271,50.13604,194.7747,21.57823,177.8149,70.23206,131.0739,8.92627,75.91714,285.0051,68.42455
246718.735283469,44.4579,13.60681,130.1752,155.1602,111.0348,259.7242,43.72056,339.2761,110.7852,178.1604,57.34562,202.4935,19.65783,160.7353,62.43214,117.0122,8.013325,70.82625,290.2531,63.0016
246718.935205854,54.91409,12.61398,123.8297,165.0172,103.6608,237.1261,40.08475,313.1208,115.0431,168.0963,55.40428,192.7501,17.90833,145.2963,55.49847,104.459,7.193752,85.42278,271.0516,65.72793
246719.135128239,48.55687,11.6936,126.958,155.0579,107.0138,216.4942,36.75129,303.3899,106.7943,171.2195,50.60327,173.7538,16.31454,131.3402,63.62096,93.25248,6.458004,79.69444,253.1203,62.18451
