Time (s), Cell Name, Value
24.790328, C07, 292.2971
128.150002, C07, 459.5014
139.145712, C07, 327.1319
165.735338, C07, 321.2236
177.730658, C07, 208.3496
239.506556, C07, 1153.923
240.506166, C07, 313.726
249.102812, C07, 213.6937
289.487056, C07, 250.4566
290.086822, C07, 309.0594
294.685028, C07, 244.0013
295.284794, C07, 294.4335
296.88417, C07, 225.3562
340.86701, C07, 279.5808
349.263734, C07, 203.2893
361.85882, C07, 202.5015
415.437916, C07, 346.6902
416.83737, C07, 325.6572
420.236044, C07, 286.9799
535.391116, C07, 229.5673
536.190803, C07, 225.0993
656.144004, C07, 247.1854
742.310386, C07, 416.7672
69437.111334, C07, 325.1659
69454.70447, C07, 366.2786
69459.70252000001, C07, 509.6157
69485.69237999999, C07, 427.5206
69491.490118, C07, 164.6538
69502.485828, C07, 505.4908
69574.057904, C07, 286.7444
69680.01656400001, C07, 206.6496
69849.950264, C07, 709.9902
69852.949094, C07, 232.7706
69888.735132, C07, 156.7137
69889.53482, C07, 213.7513
69892.333728, C07, 665.954
69895.33255799999, C07, 722.6982
69901.53014, C07, 233.4582
69903.329438, C07, 206.9861
69967.10455600001, C07, 155.0205
70043.274838, C07, 292.0192
70055.869924, C07, 386.2231
70057.869144, C07, 166.5305
70083.859004, C07, 539.3492
70114.44706999999, C07, 220.267
70167.026556, C07, 233.0027
70224.00432599999, C07, 168.8277
70281.38194000001, C07, 325.5501
70284.580692, C07, 163.1603
70287.3796, C07, 223.2403
70287.979366, C07, 365.0103
70290.778274, C07, 217.4958
70303.973126, C07, 216.0869
70502.49959199999, C07, 333.7276
70519.892805, C07, 259.4008
70664.436412, C07, 846.2334
70745.604744, C07, 774.2111
70936.530254, C07, 369.5862
70952.324092, C07, 281.5092
70972.916058, C07, 233.5427
70983.11208000001, C07, 480.4839
70984.111689, C07, 374.6694
70985.1113, C07, 253.9313
71135.652566, C07, 469.1369
71149.847028, C07, 451.2016
71184.03369, C07, 222.9354
71261.203582, C07, 263.0348
71313.383224, C07, 231.5291
71338.77331800001, C07, 253.5078
84451.76747599999, C07, 360.4579
84457.365292, C07, 870.731
84461.363732, C07, 681.4462
84534.33526199999, C07, 195.6211
84547.13026999999, C07, 286.8478
84646.09166000001, C07, 217.7946
84652.689086, C07, 1225.947
84659.68635600001, C07, 293.2261
84664.284562, C07, 325.7713
84775.641116, C07, 646.5956
84777.440414, C07, 371.4662
84778.639946, C07, 236.9909
84785.637216, C07, 252.8242
84837.21709200001, C07, 266.442
84939.977, C07, 246.3728
85093.717018, C07, 199.6465
85143.697518, C07, 338.1066
85148.095802, C07, 368.4236
85164.68932799999, C07, 273.7177
85172.88613, C07, 277.3275
85174.285584, C07, 721.1436
85195.277394, C07, 303.222
85201.674898, C07, 262.0074
85203.074352, C07, 797.731
85206.07318199999, C07, 220.126
85207.87248000001, C07, 210.2587
85288.64096800001, C07, 455.8831
85289.84050000001, C07, 302.4609
85338.421546, C07, 339.6841
152348.850246, C07, 121.9774
152355.047828, C07, 458.2551
152357.646814, C07, 358.2533
152403.428952, C07, 137.4615
152412.825285, C07, 2118.486
152465.804616, C07, 300.7974
152488.795646, C07, 240.3206
152538.776146, C07, 230.5314
152544.973728, C07, 145.0625
152554.969828, C07, 272.0121
152562.966708, C07, 136.5813
152589.756256, C07, 278.0587
152593.354852, C07, 157.1807
