 Time,C07,C08,C15,C19,C21,C24,C25,C31,C33,C36,C37,C45,C46,C50,C51,C55,C56,C57,C62,C65
70455.517922,72.16679,0.0,18.38904,0.0,16.3372,17.03925,13.01559,499.1431,17.33905,0.0,29.62353,115.2285,5.414032,25.86279,52.65948,0.0,0.0,47.65674,0.0,84.05665
70455.717844,66.45369,11.31056,38.28159,-7.629395e-06,31.1234,16.1106,77.93094,753.657,31.08133,0.0,91.11289,124.2237,5.01474,24.27472,66.71838,0.0,0.0,43.97311,0.0,74.63839
70455.917766,81.11237,10.7012,88.6692,-7.629395e-06,28.02071,15.2326,73.97086,748.708,55.06934,2.690815,85.88966,164.2665,16.31218,24.90552,63.08069,1.525879e-05,0.0,40.57428,6.103516e-05,66.27541
70456.117688,74.69109,10.12466,91.94867,-7.629395e-06,25.22733,14.40247,72.69846,745.6213,61.68292,28.9082,80.96586,152.135,15.10913,28.28415,90.82245,0.0,0.0,86.02661,30.1944,58.84948
70456.31761,68.77817,9.579178,89.54655,-7.629395e-06,22.71242,13.61761,69.00427,760.4587,170.0547,26.35017,76.32432,140.8995,13.99481,45.08698,85.87048,7.629395e-06,0.0,79.37726,50.09039,52.2556
70456.517532,63.33334,9.06308,107.409,-7.629395e-06,20.44823,95.13477,65.49783,775.3953,158.9823,24.01851,71.94887,174.128,12.96268,46.20935,122.2787,0.0,-1.525879e-05,73.24185,70.45148,46.40054
70456.717454,99.34435,8.574783,131.5848,-7.629395e-06,18.40975,135.3495,62.16953,862.3352,148.6308,27.47616,67.82424,161.2682,12.00666,45.88541,139.1417,7.629395e-06,0.0,163.9682,66.84125,71.18964
70456.917376,123.7371,8.112801,169.0322,-1.525879e-05,16.57449,127.9733,59.01035,889.644,175.324,62.34018,63.93608,149.3582,11.12115,43.06784,167.9558,7.629395e-06,0.0,151.2944,63.41602,63.21309
70457.117298,149.887,7.675713,166.3266,-7.629395e-06,31.74609,120.9991,56.01169,940.7151,163.9085,95.63939,60.27081,138.3277,17.40853,42.2774,248.8528,7.629395e-06,0.0,213.8724,101.5844,56.13028
70457.31722,162.3086,7.262169,175.6769,-1.525879e-05,63.42186,143.2169,72.51587,960.8173,184.4275,91.00347,56.81567,198.1192,16.12463,45.88794,250.5173,7.629395e-06,0.0,221.7567,148.8159,49.84108
70457.517142,149.4595,6.870911,168.5691,32.99693,92.22034,190.0931,68.83095,943.6886,172.4192,82.95078,53.55858,244.7732,20.92899,59.47733,246.7555,7.629395e-06,40.24832,245.9303,204.9613,69.52164
70457.717064,157.3899,6.500732,155.5137,31.04042,83.02692,237.1172,120.3967,996.1567,161.1928,75.61065,50.48822,279.0885,33.25077,88.96396,284.5434,1.525879e-05,37.26641,237.0467,226.9236,61.73198
70457.916986,181.1157,6.150497,173.1043,29.19993,74.74998,278.9816,190.5444,999.514,150.6973,97.69347,47.59388,272.7141,32.72122,125.0773,269.0291,7.629395e-06,48.75294,239.5018,288.9937,54.81512
70458.116908,178.9349,5.819122,227.4995,27.46856,67.29817,263.7778,180.8618,1005.879,163.746,138.0557,44.86546,277.3787,43.40852,211.4612,254.3608,7.629395e-06,66.36101,261.1642,322.5131,48.67328
70458.31683,199.0293,18.79203,235.5607,53.06208,60.58923,300.7134,171.6713,966.4723,221.1892,147.045,42.29345,256.8936,116.5517,207.7804,240.4922,3.814697e-06,82.69029,240.9777,344.1463,56.02094
70458.516752,187.4354,17.77958,284.7891,49.91584,54.5491,310.6974,162.9478,971.5427,206.7873,134.0333,39.8689,237.9214,120.4549,208.8603,315.8723,3.814697e-06,116.6828,222.3515,347.1231,49.74399
70458.716674,187.034,16.82167,264.8455,46.95615,72.39897,298.7798,160.9906,1003.078,193.3232,123.276,37.58333,220.3504,111.5712,204.4566,314.7908,0.0,110.676,218.9172,329.3351,58.94953
70458.916596,188.4698,15.91537,244.3337,44.17196,65.18153,327.5469,212.8949,1018.629,216.0613,112.3676,35.42878,289.9528,103.3426,191.902,317.3764,0.0,109.2325,219.6508,354.3074,52.34444
70459.116518,173.5495,27.76804,265.8714,41.55285,58.68361,393.2165,212.3005,1031.81,201.9933,102.4244,33.39776,270.7425,95.72095,191.1442,300.072,-3.814697e-06,116.367,262.036,397.7933,53.48782
70459.31644,210.0514,26.272,255.509,39.08904,52.83346,371.7873,208.068,1068.125,208.6788,93.36112,31.48317,250.7475,88.6614,192.5335,283.7112,-3.814697e-06,107.7457,311.2788,428.256,47.4947
70459.516362,315.0204,24.85656,286.3277,36.77131,47.5665,415.2174,217.7777,1060.736,214.7106,85.09981,29.67833,277.8859,82.1225,346.2976,289.9013,-3.814697e-06,99.76302,404.9952,492.7747,42.17308
70459.716284,383.0995,23.51736,312.2506,34.59101,42.82461,448.1028,344.6827,1034.239,223.0002,81.78276,27.97696,257.3634,87.91817,392.9468,353.4227,-3.814697e-06,98.73795,409.6418,500.4832,37.44773
70459.916206,352.7714,22.25033,288.0673,62.25461,55.84053,423.6824,399.1454,990.0822,231.6067,80.12897,26.37312,245.6751,85.7989,444.2319,418.2759,-3.814697e-06,128.3303,487.7338,509.6639,33.25184
70460.116128,364.9754,21.05155,290.7201,58.56331,96.80743,428.7156,387.3415,988.3691,289.4389,73.03854,24.86123,274.7085,80.59864,448.7298,395.4702,-3.814697e-06,118.8226,527.4607,504.1793,29.52609
70460.31605,336.0821,23.74475,268.2043,74.86732,131.5348,405.3517,367.6586,1017.0,270.5932,69.86948,23.436,261.6154,74.65438,430.0729,373.9079,-5.722046e-06,124.1925,504.7296,536.5698,46.78321
70460.515972,309.4761,22.46547,268.0574,70.42818,118.4222,411.571,351.3282,996.9495,252.9745,80.03258,22.09249,242.2945,69.14851,428.6994,373.947,-5.722046e-06,118.8425,499.6981,583.097,41.54132
70460.715894,284.9764,21.2551,291.6528,66.25224,106.6167,389.1415,333.4754,1038.432,274.1029,107.0265,20.82599,224.4005,64.04871,405.4206,371.4693,-5.722046e-06,110.0377,461.0743,597.6885,36.88676
70460.915816,262.4162,20.10995,299.3314,62.32392,173.2068,377.0827,344.9603,1093.993,297.4349,128.8047,19.63209,224.5182,59.32502,380.5258,351.2156,-5.722046e-06,135.141,425.4359,573.819,48.10085
70461.115738,241.642,19.02649,276.1486,58.62851,155.9399,370.5029,377.3018,1033.887,296.3332,128.0224,18.50664,207.937,54.94971,357.1597,356.9781,-5.722046e-06,125.1287,422.2254,568.6964,42.71132
