 Time,C07,C08,C15,C19,C21,C24,C25,C31,C33,C36,C37,C45,C46,C50,C51,C55,C56,C57,C62,C65
260228.600922,15.46292,19.77856,30.15185,114.1855,0.0,59.19858,17.05096,0.0,57.04919,0.0,6.046463,0.0,0.0,39.17993,12.03934,7.717163,0.0,0.0,0.0,0.0
260228.800844,13.66281,18.71133,48.06158,111.2996,14.29436,79.2421,20.33914,-3.814697e-06,60.08168,0.0,5.712662,7.629395e-06,6.102767,83.72131,70.84998,7.051186,3.814697e-06,13.48419,17.87669,0.0
260229.000766,15.96332,17.11554,65.4099,338.2833,13.4278,72.32053,18.56441,0.0,56.22086,0.0,5.397293,9.784706,25.13268,193.5211,73.0266,6.44268,0.0,12.64983,38.31161,0.0
260229.200688,14.10497,15.65584,60.79867,323.6705,12.61375,102.1268,78.45209,0.0,52.60813,-1.525879e-05,8.991135,8.939407,28.73234,395.5928,107.8707,17.85351,0.0,30.96823,85.95282,0.0
260229.40061,12.46295,20.22158,73.91651,292.7589,11.84908,94.20326,146.1895,-3.814697e-06,49.22756,0.0,27.74928,8.16713,26.55957,907.6893,96.81839,23.19542,3.814697e-06,41.22498,81.30373,9.536743e-07
260229.600532,23.9379,21.18714,100.4215,276.9922,25.32794,85.97487,155.0659,-3.814697e-06,46.06422,0.0,26.21737,33.98277,24.55112,1017.811,86.89847,21.19369,3.814697e-06,65.44359,97.14371,9.536743e-07
260229.800454,21.15118,22.03289,144.9845,334.5883,23.7925,78.46521,141.5353,-5.722046e-06,43.10415,0.0,24.77003,55.52785,38.90248,956.0975,77.99493,19.36471,0.0,61.65311,115.2807,9.536743e-07
260230.000376,18.68888,24.84055,134.7635,328.2803,36.18829,75.02699,129.1854,-3.814697e-06,40.3343,0.0,39.75424,50.7308,35.96065,885.2477,70.00363,24.42799,3.814697e-06,84.86664,109.0453,9.536743e-07
260230.200298,16.51323,22.72203,125.263,294.7105,37.55684,92.78778,117.9131,-3.814697e-06,42.89858,-1.525879e-05,45.27927,67.10236,33.24128,819.648,74.13268,31.89031,3.814697e-06,118.4397,116.3845,9.536743e-07
260230.40022,14.59086,31.61506,116.4322,287.9725,35.28003,84.68303,107.6244,-3.814697e-06,40.14194,-1.525879e-05,47.04652,73.82822,30.72755,758.9094,113.4476,41.98588,1.907349e-06,112.9339,116.5371,9.536743e-07
260230.600142,20.47111,28.91878,108.2241,268.9282,35.2653,78.29723,108.16,-5.722046e-06,37.56244,42.93356,119.9776,67.4502,28.40391,702.6719,101.8238,38.36256,1.907349e-06,145.671,118.2692,9.536743e-07
260230.800064,18.08798,26.45245,100.5945,269.8774,33.12743,79.22482,98.72234,-3.814697e-06,35.14869,40.31487,160.6823,70.30656,26.25599,650.6016,91.39104,45.09302,1.907349e-06,156.7905,111.8722,1.430511e-06
260230.999986,15.98228,41.46348,93.50285,260.6734,31.11914,85.55525,90.10815,-3.814697e-06,32.89005,44.63866,165.7179,64.23279,24.27049,602.39,120.4985,52.19916,1.907349e-06,149.4578,108.1213,9.536743e-07
260231.199908,14.12171,43.94033,86.91113,227.6267,54.43087,99.36702,85.1251,-4.768372e-06,30.77655,41.91595,156.5694,80.37286,41.25392,584.7388,124.0585,53.08798,0.0,156.2601,102.2731,9.536743e-07
260231.39983,12.47774,40.19289,80.78411,237.8016,66.20208,90.68761,95.77566,-2.861023e-06,28.79887,87.93129,162.0131,73.42946,38.13427,589.4268,115.3516,76.84255,1.907349e-06,146.5912,116.0321,9.536743e-07
260231.599752,11.02516,36.76505,96.62569,325.0046,62.18872,88.92782,88.92845,-2.861023e-06,26.94827,82.56797,158.7233,67.08589,36.54929,545.7484,127.1762,70.21115,1.907349e-06,155.1377,123.4895,4.768372e-07
