 Time,C07,C08,C15,C19,C21,C24,C25,C31,C33,C36,C37,C45,C46,C50,C51,C55,C56,C57,C62,C65
152280.476922,24.84452,25.25684,0.0,657.0511,0.0,0.0,20.54895,0.0,18.36746,0.0,63.4754,13.29871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152280.676844,22.91602,23.94064,-6.103516e-05,1171.886,0.0,0.0,19.47272,0.0,17.10117,0.0,124.3405,11.8428,0.0,11.40283,0.0,11.78358,32.02037,7.450073,-0.0001220703,0.0
152280.876766,21.1372,43.715,41.36813,1111.827,0.0,-6.103516e-05,18.45282,0.0,36.78629,0.0,123.5508,10.54629,0.0,10.57309,6.103516e-05,10.96346,28.38315,6.979523,0.0,10.10943
152281.076688,59.55527,51.18808,53.7012,1074.412,0.0,-6.103516e-05,30.98552,0.0,243.9542,1.525879e-05,166.1185,33.43138,12.87337,38.86151,0.0,17.89341,25.15909,12.03235,35.25989,53.26897
152281.27661,65.79999,66.80142,49.96121,1019.349,0.0,20.78745,29.36267,0.0,254.7516,1.525879e-05,156.326,29.77141,12.00497,180.1106,0.0,56.82192,22.30125,58.76495,76.77783,47.42776
152281.476532,60.69238,77.50385,73.18753,1075.601,0.0,63.4064,27.82483,71.74451,237.1883,1.525879e-05,147.1107,67.15356,11.19514,307.0873,96.19891,85.82205,19.76803,81.49365,151.9883,65.70623
152281.676454,132.6034,266.93,91.95139,1020.476,0.0,131.089,58.5482,106.137,247.2569,1.525879e-05,159.7991,59.80178,25.74825,284.7415,145.6492,79.84901,17.52257,76.34671,174.1283,58.50122
152281.876376,152.0592,359.7245,119.1136,1040.439,0.0,285.4554,89.68033,138.5522,374.184,7.629395e-06,150.3792,53.25485,215.9592,264.0218,334.6165,74.29169,15.53216,197.2052,185.0561,70.7788
152282.076298,140.2559,361.1709,110.8179,1007.664,0.0,288.9138,110.7897,129.2894,424.9781,7.629395e-06,141.5145,47.42466,233.2124,250.3111,347.0122,69.12112,13.76785,262.7252,190.2539,114.0472
152282.27622,129.3688,366.5338,132.0323,975.4253,0.0,270.4984,110.8303,183.5773,421.6607,1.525879e-05,140.2843,42.23274,217.4804,251.2258,330.3193,64.31043,12.20395,246.1322,226.4796,101.5413
152282.476142,119.3267,367.0696,122.8369,925.7692,0.0,253.2567,105.0257,302.5372,416.8436,1.525879e-05,132.0147,37.60922,202.8098,232.9449,314.4294,59.83456,10.8177,256.9123,214.291,96.77919
152282.676064,110.0642,347.9408,114.2819,955.4955,0.0,237.114,99.52504,282.3112,388.1053,7.629395e-06,124.2326,33.49187,189.1287,215.9942,299.3039,55.6702,9.588905,240.6864,236.4261,113.3333
152282.875986,101.5207,329.8088,106.3227,955.2844,0.0,251.1994,94.31248,263.4373,361.3482,7.629395e-06,116.9092,29.82528,176.3705,200.277,284.906,51.79567,58.25801,225.4853,241.8482,100.9058
152283.075908,93.64031,312.6217,122.0735,924.6528,0.0,256.0135,92.13855,245.8253,425.761,7.629395e-06,119.5968,26.56009,164.473,185.7035,271.2007,48.1908,51.64044,272.0428,270.6857,89.84094
152283.27583,86.37166,312.0555,113.5717,877.2646,0.0,254.9706,92.72995,229.3906,556.0513,7.629395e-06,133.1792,49.32812,153.3781,172.1904,258.1547,44.83681,45.77456,254.8613,321.4811,79.98943
152283.475752,79.66721,295.7936,105.662,883.8098,0.0,238.7187,109.6867,214.0547,616.8663,7.629395e-06,125.3284,43.92782,143.0316,159.6607,245.7363,97.43759,55.30655,238.765,304.1796,71.2182
152283.675674,86.58459,284.1592,98.30315,943.5237,0.0,267.5242,128.8855,199.7441,574.3378,7.629395e-06,117.9404,39.11872,133.383,148.0427,233.9153,90.65613,118.945,253.7138,287.8093,63.40877
152283.875596,79.86362,278.5513,91.45682,911.4108,0.0,275.8531,133.44,186.3903,534.7413,7.629395e-06,110.988,34.83612,124.3853,137.2701,244.961,84.34665,105.434,248.0038,317.3049,56.45568
152284.075518,90.94259,338.0995,85.08731,895.5,0.0,296.1348,126.4512,173.9291,540.1125,7.629395e-06,104.4453,31.02236,115.9946,127.2814,242.2413,78.47629,93.45765,232.3406,341.6882,86.47617
152284.27544,140.9552,463.4967,79.16142,890.5154,0.0,290.937,119.8284,179.7582,502.8756,7.629395e-06,98.28844,27.62612,142.7277,118.0195,230.5884,73.0145,82.84172,217.6666,350.7694,102.4524
152284.475362,130.0138,469.2015,107.0871,866.2618,0.0,313.9144,114.6089,167.7405,499.7383,7.629395e-06,92.49443,24.60169,133.0996,109.4316,219.496,67.93285,73.43166,222.8416,374.8927,122.6054
152284.675284,134.7292,449.3635,99.62905,869.0873,0.0,408.0194,132.9735,202.4291,489.9373,7.629395e-06,107.6363,21.90837,124.121,101.4686,235.9196,63.20486,65.09051,243.4643,388.0305,109.1611
152284.875206,124.2711,431.1299,99.09046,868.0717,0.0,406.0314,167.0125,196.6862,558.0402,7.629395e-06,105.5882,19.5099,115.7481,94.08507,224.5707,58.80593,57.69683,297.7112,407.4757,123.1429
152285.075128,114.6247,430.8478,136.2334,854.4775,0.0,436.0505,229.381,230.9404,580.7922,5.722046e-06,99.36388,17.37401,107.94,87.23879,213.7678,54.71316,51.143,307.0344,439.1488,116.0362
152285.27505,105.7272,437.5984,149.9513,811.3172,0.0,414.7781,356.6087,231.3223,540.7507,5.722046e-06,100.209,15.47196,108.6838,125.2501,203.4846,50.90524,45.33363,302.9634,465.7173,103.3122
152285.474972,114.3101,433.6305,184.2795,823.1008,0.0,401.5727,337.9316,246.8122,524.0195,5.722046e-06,105.9599,13.77813,101.3523,116.1361,193.696,47.36234,40.18414,288.0283,474.3564,101.5934
152285.674894,118.2188,428.2196,201.5675,811.1566,0.0,375.9762,320.2327,638.5663,503.2342,3.814697e-06,103.1837,45.97466,94.51528,117.9734,184.3783,44.06601,35.61959,311.1872,448.8275,121.1013
152285.874816,109.0423,405.9041,187.5293,801.9717,0.0,352.0114,303.4607,828.2,516.0602,3.814697e-06,97.10111,47.17668,88.13951,109.3888,194.932,40.99911,31.57354,309.3177,424.6726,123.0983
152286.074738,125.1241,386.4418,174.4688,846.8862,0.0,348.8998,287.5672,778.8467,480.4815,1.907349e-06,91.37711,50.57693,82.19383,101.429,194.9832,38.14565,27.98708,289.7821,401.8176,139.0287
152286.27466,140.7309,368.4737,162.3179,805.2499,0.0,368.2225,272.5061,748.0681,458.3773,1.907349e-06,116.0004,54.74038,76.64925,94.04829,185.6036,35.4908,24.808,283.5606,412.6891,123.7835
152286.474582,129.8069,387.8514,215.981,763.9811,0.0,358.952,295.7064,726.6321,488.8686,1.907349e-06,141.5768,48.74756,71.47868,87.2047,184.0766,33.02071,21.99004,285.9441,467.5433,110.2101
152286.674504,141.9719,392.3804,200.939,755.1574,0.0,362.7105,298.7889,698.4197,472.8568,2.861023e-06,136.3437,43.41082,66.6569,80.85909,186.5762,30.72253,19.49218,315.8642,479.2177,98.12498
152286.874426,130.9516,425.5269,186.9446,719.8848,0.0,365.9359,316.4272,651.7269,487.799,2.861023e-06,128.3064,61.84222,62.16039,116.5526,239.8662,28.58431,17.27804,331.683,506.8021,87.36508
152287.074348,120.7867,432.5728,173.9249,682.9909,0.0,354.4323,334.6423,608.1558,484.0515,2.861023e-06,128.8722,55.0719,57.96719,108.0714,266.6111,26.5949,15.31542,310.7347,521.8221,77.78507
152287.27427,111.4109,410.0305,161.8119,682.3961,0.0,331.8406,317.1157,567.4976,450.6796,3.814697e-06,139.8664,49.04279,54.05687,100.2074,253.7859,24.74395,13.57573,291.1096,493.7388,103.3326
152287.474192,102.7628,425.003,159.5005,674.7067,0.0,348.9985,300.507,529.5577,445.4442,3.814697e-06,135.274,43.67372,50.41032,92.91562,241.5776,23.02182,12.03365,272.7239,480.4337,92.00171
152287.674114,94.78603,424.0969,185.3875,656.5762,0.0,326.7531,284.7681,494.1542,434.7439,3.814697e-06,130.0858,38.89245,61.0967,86.15445,229.9566,21.41955,89.3825,266.4593,524.1367,81.91326
152287.874036,119.3042,436.419,219.134,649.825,0.0,342.4168,269.8536,461.1176,404.7714,2.861023e-06,122.4174,34.63461,56.97527,79.88525,218.8946,19.92879,79.22947,293.2606,535.1019,97.90818
152288.073958,138.317,465.6935,203.8724,617.5356,0.0,346.6678,255.7202,442.6173,376.8654,31.8584,136.0795,30.84291,53.13186,74.07227,208.3647,18.54179,105.0267,285.2645,521.7664,102.1355
152288.27388,145.5873,450.5242,197.8628,614.046,0.0,324.5711,253.0533,433.3959,350.8832,29.46685,137.1939,27.46632,49.54771,68.68226,198.3414,17.25132,93.0966,267.248,493.6861,90.9358
152288.473802,134.2863,442.1567,184.0826,591.4384,0.0,323.911,246.3042,414.1264,369.0611,27.25483,147.1354,24.45938,46.20535,63.68447,188.8003,16.05066,113.0708,250.3693,500.8397,99.1507
152288.673724,123.8626,441.9261,225.5815,581.3622,0.0,303.2648,233.4042,386.44,349.7355,63.5866,166.0656,21.78164,43.08844,59.05035,179.7181,14.93357,100.227,246.6406,482.0189,88.27834
152288.873646,133.5327,463.7345,217.1835,557.8851,0.0,283.9346,231.7829,360.6046,338.8325,110.7375,174.1653,19.39705,40.1818,54.75344,171.0728,13.89422,202.8673,231.0634,496.4356,188.3154
152289.073568,153.8524,443.3549,211.7198,530.3752,0.0,265.8365,219.6434,336.4965,328.1589,102.4247,173.1736,17.27351,37.47124,50.76921,162.8434,12.92721,179.8234,216.4701,469.7186,276.9536
152289.27349,141.9099,420.2506,196.9746,536.9805,0.0,300.1462,232.2869,314.0001,305.5347,105.1683,162.9652,15.38246,34.94352,47.07489,155.0099,12.02751,159.3972,228.498,507.9989,264.0462
152289.473412,130.8944,398.3504,183.2563,516.1259,0.0,281.0148,220.1211,308.6202,311.792,99.3692,153.3586,13.69843,32.58631,43.6494,147.5532,11.19042,141.2911,229.3797,556.6429,245.3204
152289.673334,131.2552,393.6584,170.4934,537.9813,0.0,291.0664,209.7599,312.8528,300.4544,91.90975,144.3183,12.19876,30.38812,40.47318,140.4552,10.41159,125.2417,232.3042,597.4028,238.2311
152289.873256,121.0668,373.144,183.0205,510.4099,0.0,279.234,198.7739,418.1096,315.6136,85.01026,140.4715,10.86328,28.33821,37.52807,133.6987,9.68696,111.0154,223.4505,629.5762,216.5902
152290.073178,111.6692,366.0891,196.5682,526.9023,0.0,327.3199,196.4263,1100.739,308.4339,91.38078,154.627,59.14119,26.42658,34.79727,342.1734,74.60858,98.40511,251.8388,595.6937,231.6506
152290.2731,113.3528,373.834,182.8782,507.8784,0.0,306.4564,201.4522,1290.047,304.7171,84.52101,157.0762,57.09091,24.64391,32.26518,402.3021,83.39304,87.2272,239.7039,563.6348,214.7446
152290.473022,113.7563,373.3293,175.4543,481.8498,0.0,286.9227,197.6945,1222.185,320.7389,113.9036,147.8168,69.55019,22.98149,29.91734,382.9495,77.58905,77.31899,245.6774,561.0212,233.9364
152290.672944,104.9261,359.1311,170.3818,459.9059,0.0,268.6342,187.3404,1140.476,298.6262,140.8471,139.1031,61.93604,21.43122,27.74035,364.5279,72.18901,68.53627,230.1611,568.3529,208.2841
152290.872866,96.78144,350.6763,158.5156,450.3787,0.0,251.5113,195.6765,1103.778,310.949,143.0938,130.9032,94.47766,19.98552,25.72178,346.9924,67.1648,60.75118,215.6247,576.1705,204.3361
152291.072788,89.26896,332.4018,164.4993,446.3382,0.0,235.4799,185.4281,1070.407,335.6574,132.352,123.1866,84.13451,18.63734,23.85008,330.3004,62.49028,53.85041,202.0064,545.1624,181.9296
152291.27271,82.33961,320.1078,178.8777,535.28,0.0,220.4703,178.4355,1032.356,312.5162,165.339,171.6266,74.92371,17.38012,22.11459,314.4114,58.14108,130.6515,189.2482,515.8229,315.5706
