 Time,C07,C08,C15,C19,C21,C24,C25,C31,C33,C36,C37,C45,C46,C50,C51,C55,C56,C57,C62,C65
84440.371922,0.0,47.89191,13.53146,0.0,0.0,16.22498,0.0,45.11218,0.0,0.0,79.46636,29.33858,0.0,0.0,0.0,0.0,38.13968,0.0,0.0,19.83479
84440.571844,21.82542,59.12036,12.2842,3.051758e-05,0.0,63.62817,0.0,42.36414,-3.051758e-05,7.830856,87.89952,26.68245,0.0,1.525879e-05,-0.0001220703,1.525879e-05,81.83243,0.0,0.0,17.54729
84440.771766,20.02862,205.7258,11.15189,0.0,0.0,92.32916,3.051758e-05,39.78357,31.16724,58.17948,82.15536,397.3484,43.51181,0.6134338,43.8252,0.0,108.4031,0.0,33.99536,66.77225
84440.971688,18.37974,266.6439,10.12396,9.284454,0.0,85.89191,0.0,78.05603,48.93488,52.4075,76.78658,443.5885,121.4815,0.5788574,98.91528,0.0,101.3351,0.08825684,45.84399,94.57196
84441.17161,24.90865,253.5474,9.190773,13.63037,0.0,79.90332,1.525879e-05,90.16943,46.18338,47.20815,71.76864,403.4287,112.9753,0.5462494,109.5309,0.0,94.72787,31.84857,111.3353,83.66529
84441.371532,34.43453,252.2029,8.343609,23.83643,7.629395e-06,74.33234,14.87962,89.04382,64.2052,42.52463,67.07862,366.9048,105.0647,0.5154572,103.7168,-1.525879e-05,88.55148,45.32056,127.2983,80.56098
84441.571454,31.59967,252.8686,7.574532,22.44388,0.0,118.0237,14.1292,83.61969,60.59509,38.30576,67.22685,333.6875,109.6499,0.4864197,169.0991,-1.525879e-05,97.23428,51.4295,209.1638,87.4269
84441.771376,28.99819,266.3889,6.876343,52.31186,0.0,109.7949,13.41661,100.6139,57.18793,38.28071,68.72105,303.4775,136.398,0.4589996,160.1232,-1.525879e-05,95.74765,80.40344,287.3942,77.34424
84441.971298,26.61089,362.6758,6.242512,61.36906,0.0,102.1397,25.67473,148.6469,53.97238,34.48288,64.23019,276.0026,135.7311,0.433136,151.6236,-1.525879e-05,89.50475,76.19299,346.8273,84.86563
84442.17122,24.42012,391.6791,5.667105,57.78381,0.0,112.6295,24.37987,165.6652,50.93765,31.06183,60.0328,258.9362,126.2271,0.4087219,174.0209,-7.629395e-06,83.6689,74.53326,328.4024,75.07835
84442.371142,22.40971,399.4764,5.144735,55.25642,0.0,137.8062,50.64784,175.7498,124.3904,31.59532,56.10971,235.4937,138.4016,0.3856964,237.9299,-7.629395e-06,78.21356,75.15616,310.9563,66.4198
