 Time,C07,C08,C15,C19,C21,C24,C25,C31,C33,C36,C37,C45,C46,C50,C51,C55,C56,C57,C62,C65
158588.063922,15.31074,0.0,0.0,0.0,23.43198,84.8647,62.04276,150.7693,27.08823,0.0,0.0,0.0,0.0,0.0,60.61682,15.39525,0.0,87.61017,0.0,8.995865
158588.263844,14.18607,0.0,-3.814697e-06,0.0,30.3861,94.03184,58.68927,623.2687,48.55228,33.30432,0.0,16.58393,0.0,0.0,102.1656,57.55376,-3.814697e-06,81.74001,0.0,30.93097
158588.463766,14.26925,32.51997,-3.814697e-06,0.0,27.54567,141.536,99.02963,663.3452,74.08316,41.54665,0.0,29.66307,3.814697e-06,69.61609,246.5111,52.30664,0.0,76.26318,22.66806,27.33342
158588.663688,18.02621,40.87502,-3.814697e-06,0.0,24.97076,154.059,115.8019,631.1239,120.5214,50.56734,0.0,26.05426,0.0,78.15176,376.4911,47.53788,-3.814697e-06,71.15331,55.55496,38.70831
158588.86361,16.70206,38.32494,-3.814697e-06,0.0,22.63654,181.2397,109.5426,712.6776,135.0979,45.7912,14.59706,22.88449,0.0,96.27461,382.5674,43.2039,0.0,97.69688,67.10553,135.5766
158589.063532,15.47519,43.73943,-1.907349e-06,1.907349e-06,50.25447,174.5511,112.4478,893.0944,145.078,95.34412,20.99074,20.10036,22.02356,89.59776,360.77,39.26503,3.814697e-06,91.15087,88.44788,119.8078
158589.263454,26.42812,50.68229,-1.907349e-06,9.536743e-07,45.55678,177.7702,113.4959,849.5009,137.2516,86.33875,19.44388,44.19344,32.49051,83.38396,355.592,35.68527,0.0,85.04348,90.01733,105.8731
158589.463376,24.4868,66.30305,0.0,1.907349e-06,68.84515,228.6431,111.689,812.3646,148.7474,78.18397,49.50949,58.11335,40.89499,131.2367,363.8474,32.43187,11.41626,84.82217,135.5597,93.55908
158589.663298,29.59291,62.16658,0.0,1.907349e-06,62.40963,277.7408,126.188,774.1223,161.6475,90.86419,45.861,65.00641,38.48682,215.9016,373.165,46.49866,10.20308,79.1388,207.2787,82.67731
158589.86322,27.41911,58.28818,0.0,1.907349e-06,182.1143,332.7553,126.6806,890.4611,152.9272,82.28197,61.50362,71.98482,36.22046,201.9221,468.7951,48.64439,9.118822,89.26136,207.5257,73.06118
158590.063142,40.34795,54.65173,0.0,1.907349e-06,165.0905,381.1048,119.8334,878.3537,146.3263,74.51034,75.02522,73.65022,34.08755,187.9183,615.214,44.20953,51.27983,104.7247,249.7334,64.5635
158590.263064,54.62435,103.6822,-9.536743e-07,1.907349e-06,149.6582,358.9584,309.5918,838.0662,149.7307,113.6611,69.49641,101.7335,32.08025,307.6726,787.084,67.84119,45.83044,97.70782,293.4208,57.05418
158590.462986,53.66431,152.5619,-9.536743e-07,1.907349e-06,135.6684,479.2104,491.0938,916.9939,179.9449,148.5942,64.37503,136.4009,30.19115,467.9711,1001.086,110.8226,40.96014,91.16108,327.4311,50.41825
158590.662908,71.68114,187.2186,-9.536743e-07,1.907349e-06,122.9864,530.1353,507.8189,965.2736,191.4318,169.9265,59.63107,156.4727,28.41329,447.9734,993.9103,100.719,36.60739,85.05299,375.8078,44.55415
158590.86283,89.57224,175.5386,38.57497,1.907349e-06,111.4899,499.4553,480.3707,901.5778,181.1048,153.8768,69.13121,137.4362,26.74012,435.7543,941.7207,91.53656,52.15392,79.35417,388.1587,81.50122
158591.062752,111.4153,164.5872,69.47784,1.907349e-06,101.068,462.958,454.4061,856.876,184.6058,194.4073,76.07671,120.7157,25.16548,410.3637,894.0137,83.19125,46.61164,74.03719,366.0388,202.2319
158591.262674,107.6323,154.319,62.61052,1.907349e-06,91.62034,445.1109,453.9694,808.9498,178.5058,212.9195,70.47041,117.5147,23.68357,381.904,849.4634,75.60678,41.65833,69.07646,345.1794,178.7105
158591.462596,99.72603,144.6915,56.42198,1.907349e-06,83.05585,459.3192,441.0466,767.3844,177.2187,192.809,112.5922,103.2179,22.28892,357.2743,827.1298,68.71378,37.23139,64.44812,378.1277,157.9248
158591.662518,92.4005,135.6646,50.84513,9.536743e-07,75.29194,437.2403,425.672,731.9492,167.6584,174.598,114.7078,90.66037,42.17329,354.4628,793.5922,62.4492,33.27489,60.12989,368.9378,139.5567
158591.86244,85.61307,127.2008,45.8195,1.430511e-06,68.25378,405.2893,402.6639,715.7373,170.9931,171.323,106.2547,79.63061,54.35552,346.2929,753.4491,56.75577,29.73884,68.40019,347.9132,123.325
158592.062362,79.32423,119.2651,41.29062,1.430511e-06,61.87355,392.1765,398.4553,773.8712,161.7687,167.9731,98.4245,69.94274,64.57748,333.5183,756.4333,51.58139,26.57856,80.07864,362.1126,108.9812
158592.262284,73.49734,111.8244,37.20938,9.536743e-07,56.08973,363.5185,394.3807,751.1185,153.0419,152.1079,91.17134,61.4335,60.77472,310.3881,781.561,46.87876,23.75411,74.7131,379.0284,96.30569
158592.462206,68.09847,104.848,33.53154,9.536743e-07,50.84656,366.1411,373.064,783.9569,144.7858,172.5693,84.45268,69.05637,69.4039,288.862,785.9748,42.60487,21.22982,69.70709,372.8367,85.10446
158592.662128,63.0962,98.30682,30.21722,9.536743e-07,46.09352,421.2584,357.3152,757.5514,136.9752,167.6223,78.22913,70.62975,83.8299,276.404,772.5491,38.72062,18.97377,72.21043,429.2564,75.20604
158592.86205,58.46136,92.17371,27.23049,4.768372e-07,97.99075,415.9416,338.002,777.0693,146.9432,151.7902,101.5781,81.26945,78.89343,273.9427,728.5317,35.19049,30.60016,67.3721,447.5022,66.45889
158593.061972,54.16699,86.42325,24.53898,4.768372e-07,105.6483,397.8609,365.851,746.5897,139.0162,173.7443,94.09251,71.84993,74.24765,279.2839,728.224,31.98221,27.34835,62.85795,476.149,58.72912
158593.261894,50.18807,81.03152,22.1135,4.768372e-07,150.7294,441.5289,364.92,697.3243,143.7662,157.334,107.3576,85.63577,69.87545,432.5185,737.8843,29.06642,24.4421,69.41979,520.6036,51.89839
158593.461816,46.50143,75.97618,19.92776,4.768372e-07,196.4275,426.1676,366.0239,651.3097,177.2759,142.4736,158.7403,95.15225,65.76071,482.7509,796.5112,26.41646,27.13766,96.12871,510.3814,45.86213
158593.661738,43.08559,71.23623,17.95807,4.768372e-07,230.5271,410.8777,354.9019,644.9691,205.7818,129.0168,189.8079,90.09737,61.88828,562.5332,805.3494,24.00809,67.17709,105.9086,540.9235,40.52795
158593.86166,39.92067,66.79199,16.18306,4.768372e-07,208.9779,473.4416,335.7191,622.4177,314.1401,116.8311,196.9844,79.1361,58.24387,544.8149,786.4929,21.81929,62.47282,104.8967,556.5706,35.81418
158594.061582,36.98823,62.62501,14.58349,4.768372e-07,205.3976,438.8452,320.0074,593.9061,320.9144,105.7962,202.9527,69.50838,54.81408,522.3286,741.6811,19.83005,55.83397,128.6541,548.4755,31.64867
158594.261504,34.27121,58.718,13.14203,7.152557e-07,186.1974,432.4351,312.3524,576.7277,303.6023,95.80367,204.2127,61.05199,51.58626,486.1039,707.4128,18.02216,57.19781,177.8875,560.1295,27.96764
