 Time,C07,C08,C15,C19,C21,C24,C25,C31,C33,C36,C37,C45,C46,C50,C51,C55,C56,C57,C62,C65
69427.914922,0.0,26.59698,100.5978,0.0,0.0,0.0,8.101135,0.0,20.339,50.00449,0.0,27.37367,0.0,0.0,28.9928,0.0,17.27566,0.0,0.0,2.240074
69428.114844,0.0,90.76282,92.90222,0.0,0.0,0.0,7.720093,0.0,64.2681,57.80352,18.28043,46.34834,0.0,0.0,50.89777,0.0,15.92052,0.0,10.26068,30.85585
69428.314766,0.0,110.5341,85.79532,0.0,0.0,0.0,13.47108,0.0,60.19817,52.01358,23.77231,42.87851,20.79646,0.0,70.54626,5.249886,14.67169,0.0,73.94049,27.52661
69428.514688,0.0,132.2523,100.2639,0.0,0.0,-1.525879e-05,29.84184,0.0,56.38598,46.8036,47.19011,39.66844,28.19862,1.525879e-05,67.03366,4.899155,17.16793,0.0,112.6693,24.55658
69428.71461,0.0,140.3703,97.15176,43.26291,0.0,-1.525879e-05,33.31161,3.051758e-05,52.81519,45.01022,75.78024,36.69868,26.16548,7.629395e-06,75.99417,4.571861,38.12923,1.525879e-05,153.9989,26.50829
69428.914532,0.0,133.6953,102.0903,68.12076,0.0,-1.525879e-05,45.49642,0.0,95.30933,94.22784,71.17592,33.95126,51.18706,7.629395e-06,96.9902,8.02562,52.18588,0.0,164.0182,23.64814
69429.114454,0.0,127.3377,102.0155,64.38167,0.0,-1.525879e-05,67.42188,0.0,116.9702,85.85362,66.85136,31.40953,47.49642,7.629395e-06,92.16098,24.67251,60.2485,1.525879e-05,168.8493,40.85283
69429.314376,0.0,121.2824,94.21142,83.40211,0.0,0.0,64.25072,0.0,116.6872,126.7995,78.14621,59.73558,44.07188,7.629395e-06,87.57217,23.02421,55.5225,1.525879e-05,202.21,39.85088
69429.514298,-3.814697e-06,133.6394,87.00439,78.82423,0.0,0.0,61.22869,0.0,109.2977,134.8781,73.39813,55.26352,64.70061,7.629395e-06,111.5766,21.48603,51.16722,1.525879e-05,215.7365,46.3882
69429.71422,-3.814697e-06,157.0097,80.34867,108.4723,0.0,0.0,58.34882,1.525879e-05,117.1825,145.8051,68.93854,51.12627,70.17712,0.0,132.9715,20.05062,63.08306,1.525879e-05,251.9371,47.43832
69429.914142,-3.814697e-06,149.5435,95.42259,102.5183,0.0,1.525879e-05,55.6044,0.0,156.0373,131.2004,64.7499,47.29874,134.7085,7.629395e-06,126.3507,18.71109,58.13472,1.525879e-05,297.2011,42.31989
69430.114064,-1.907349e-06,172.1644,88.1229,96.89117,0.0,7.629395e-06,52.98906,-1.525879e-05,146.1559,140.2604,68.11618,43.75776,124.9959,7.629395e-06,120.0596,17.46106,53.57453,2.288818e-05,334.271,37.75372
69430.313986,-1.907349e-06,163.9774,127.9985,91.57289,0.0,31.42883,50.49673,-1.525879e-05,136.9002,126.2111,69.03452,40.48187,115.9836,7.629395e-06,114.0817,16.29454,49.37205,2.288818e-05,403.8907,44.42739
69430.513908,-1.907349e-06,181.6178,118.2068,86.54654,0.0,47.48704,48.12163,-1.525879e-05,134.0363,113.5691,95.03782,37.45123,107.6211,7.629395e-06,153.6017,36.94514,45.49922,2.288818e-05,402.1881,41.73682
69430.71383,-1.907349e-06,200.6059,146.7188,100.1168,0.0,44.83207,51.37952,-1.525879e-05,160.0508,102.1933,104.1208,34.64747,99.8615,7.629395e-06,181.723,34.47695,41.93018,2.288818e-05,431.5843,42.81313
69430.913752,7.202559,235.6523,145.2212,94.62148,0.0,49.89178,51.7911,-1.525879e-05,149.9152,91.95707,105.511,32.05361,92.66139,7.629395e-06,207.1515,32.17365,38.6411,2.288818e-05,450.3707,51.8689
69431.113674,14.44334,224.4463,149.9017,89.42778,0.0,47.10236,49.35512,-1.525879e-05,140.4214,82.74611,99.10026,29.65394,101.0181,3.814697e-06,234.6458,55.45577,55.12846,2.288818e-05,486.8658,46.27243
69431.313596,13.52491,213.7732,138.4345,84.51917,0.0,65.51373,54.77873,-1.525879e-05,131.5289,74.45777,102.9052,27.43391,93.73457,3.814697e-06,243.143,57.25244,50.80409,3.051758e-05,503.4156,41.2798
69431.513518,12.66488,280.9178,127.8444,107.8793,0.0,141.2185,74.28368,0.0,149.1584,83.79098,118.2516,25.3801,146.0719,3.814697e-06,275.1898,53.42758,75.60406,2.670288e-05,526.208,51.52995
69431.71344,36.72054,347.7956,168.6108,114.676,0.0,210.0709,81.00421,-1.525879e-05,213.9129,98.11789,142.1779,23.48004,135.54,7.629395e-06,261.4879,68.51251,123.2473,2.670288e-05,498.0474,56.592
69431.913362,34.38554,344.1187,246.713,134.3201,0.0,205.7903,89.10054,-1.525879e-05,210.6434,133.1617,160.7849,51.5059,139.4569,1.144409e-05,248.4681,76.8495,168.1203,2.288818e-05,497.6357,443.168
69432.113284,32.19902,333.3369,314.0716,126.9473,0.0,224.7934,92.38797,-1.525879e-05,197.3039,125.6603,168.8428,47.64996,129.4019,1.144409e-05,236.0967,145.4455,165.9276,2.288818e-05,496.9511,699.5309
69432.313206,30.15154,354.6265,308.5088,119.9793,0.0,212.2253,88.04253,-1.525879e-05,184.8092,113.0734,158.584,44.08268,120.0719,1.144409e-05,224.3412,135.7287,154.3441,1.907349e-05,470.3562,699.3768
69432.513128,28.23425,337.763,284.9083,125.1209,0.0,200.3599,83.90147,-7.629395e-06,173.1057,101.7473,175.8884,40.78246,142.3877,7.629395e-06,213.1711,126.6611,151.5469,1.525879e-05,479.8642,663.8827
69432.71305,26.43888,321.7014,272.7891,136.5963,0.0,201.7852,79.95518,-1.525879e-05,162.1434,91.55573,165.2016,37.72932,161.2248,7.629395e-06,202.5571,118.1992,142.045,1.525879e-05,476.0229,610.4751
69432.912972,24.75768,306.4036,251.9211,129.0986,0.0,212.9863,76.1945,-1.525879e-05,151.8753,82.38496,155.1641,51.62948,149.6003,7.629395e-06,192.4716,110.3027,136.0984,1.525879e-05,467.466,544.6069
69433.112894,23.18337,305.9767,232.6495,126.455,0.0,223.3417,72.61071,-1.525879e-05,157.5671,74.1328,162.1264,47.76428,160.4689,3.814697e-06,182.8883,102.9337,134.8643,1.525879e-05,459.222,485.8457
69433.312816,21.70918,297.9185,231.315,136.2192,0.0,210.8548,69.19548,-1.525879e-05,147.5888,69.32508,161.0923,52.58097,164.2104,3.814697e-06,173.7821,96.05701,127.5261,1.335144e-05,507.123,442.1337
69433.512738,20.32873,361.8247,213.6197,128.7423,0.0,199.066,65.94088,-2.288818e-05,159.2766,81.27398,151.3045,61.67162,152.3707,3.814697e-06,165.1293,89.63972,140.8592,1.144409e-05,501.3261,394.429
69433.71266,19.03606,344.6189,200.5142,121.6757,0.0,187.9363,73.19827,-1.525879e-05,149.19,73.64893,142.1114,80.60011,166.6848,3.814697e-06,156.9074,83.65117,149.6029,9.536743e-06,535.3307,370.998
69433.912582,17.82558,328.2313,185.1751,114.997,0.0,177.4289,69.75541,-1.525879e-05,139.7422,78.81431,133.4769,74.56605,176.3457,5.722046e-06,202.7709,78.06268,172.3406,7.629395e-06,535.6375,349.2654
69434.112504,24.8673,356.6893,188.8962,108.685,0.0,167.509,66.47449,-1.525879e-05,130.8927,70.91981,135.7501,68.98372,225.4054,5.722046e-06,234.9319,72.84755,196.4429,5.722046e-06,556.2636,311.5809
69434.312426,23.28603,422.8278,193.2582,102.7193,0.0,158.1436,63.34787,-1.525879e-05,122.6036,63.81607,132.4123,63.81931,234.6813,5.722046e-06,251.7872,67.98082,200.6623,54.26658,547.3204,282.8966
69434.512348,21.80531,470.8457,196.1513,97.08115,0.0,149.3019,60.99949,-2.288818e-05,114.8394,64.38322,136.417,59.04153,246.1791,3.814697e-06,239.2505,63.43923,184.922,50.32825,527.2045,272.5246
69434.71227,20.41874,570.6715,215.4368,91.75244,0.0,188.4436,67.70537,-1.907349e-05,107.5669,87.65615,128.1285,54.62143,250.5006,3.814697e-06,227.338,59.20104,177.2632,61.84154,552.4117,253.8703
69434.912192,19.12035,587.9526,254.7859,108.4219,0.0,199.4837,64.52086,-1.525879e-05,100.755,100.322,128.9788,50.53224,232.4392,3.814697e-06,216.0187,55.24599,196.1279,93.44833,533.8651,243.0801
69435.112114,17.90452,559.9938,235.2951,116.8265,0.0,237.1336,61.48613,-1.525879e-05,94.37446,90.27315,138.069,46.74918,215.6801,3.814697e-06,205.2629,51.55517,180.7433,86.66644,545.5853,249.2984
69435.312036,26.72449,533.3645,224.9467,120.1605,0.0,251.9215,58.59415,-1.525879e-05,88.39798,81.23087,132.6376,43.24934,200.1294,3.814697e-06,195.0427,48.11092,236.4035,108.5746,516.3877,222.4
69435.511958,25.02512,508.0015,227.9182,133.1384,0.0,259.6688,55.83818,-1.144409e-05,82.79996,73.09431,162.3745,40.01151,233.3589,1.907349e-06,185.3313,44.89677,217.8596,100.6949,519.7039,198.4038
69435.71188,27.78887,483.8445,210.4827,141.4631,0.0,262.8615,68.85699,-1.144409e-05,77.55646,110.1971,160.9203,37.01608,216.5335,1.907349e-06,224.3322,41.89735,200.7703,109.6054,508.4254,176.9967
69435.911802,28.40144,460.8363,216.9501,137.9305,0.0,248.1651,65.61832,-1.525879e-05,72.64501,99.15913,151.143,34.2449,200.9212,2.861023e-06,253.9432,39.09832,185.0215,111.1685,494.5279,157.8994
69436.111724,32.61797,438.9222,223.2192,159.7822,0.0,234.2903,66.11047,-1.525879e-05,68.0446,134.4887,141.9597,31.68118,186.4346,1.907349e-06,241.2991,36.48627,192.1677,103.1006,483.8455,140.8626
69436.311646,39.19139,453.2917,225.1635,183.888,0.0,271.7402,64.60573,-1.144409e-05,63.73551,169.0107,133.3344,29.3094,199.0885,1.907349e-06,250.6417,34.04874,179.5841,95.61818,466.4495,125.664
69436.511568,36.69928,441.9341,240.6098,208.2572,0.0,292.5863,90.45381,-1.525879e-05,87.19538,152.0816,144.7796,27.11517,184.734,67.68426,291.2233,31.77404,175.2674,108.059,500.9342,112.1053
69436.71149,233.7719,461.5705,390.7761,196.8261,0.0,276.228,92.16561,-1.525879e-05,81.67353,136.8482,189.2125,67.24289,171.4145,73.29322,276.7231,29.65131,161.5192,100.2168,509.7972,100.0095
69436.911412,335.0602,453.5992,484.644,202.3152,0.0,260.7842,87.83062,-1.525879e-05,76.50137,123.1407,177.7161,62.20881,159.0554,93.98615,262.9448,27.67039,172.1317,92.94366,533.7454,89.21881
69437.111334,361.8652,447.5403,493.5151,191.2103,0.0,246.2039,90.40893,-1.525879e-05,71.65673,110.8062,221.3752,57.55159,147.5873,103.1096,249.8526,25.82182,158.6294,141.9202,607.097,91.55555
69437.311256,338.8547,466.5251,566.5674,180.7149,0.0,232.4388,98.46648,-1.335144e-05,82.65867,99.70721,207.9247,53.24304,136.9462,97.3015,237.4122,24.09674,146.1862,131.6205,630.4849,81.67702
69437.511178,317.3075,444.3405,526.3718,170.7956,0.0,244.8942,132.8342,-1.335144e-05,121.4566,89.71996,195.2914,49.25704,127.0722,162.4647,225.5912,22.48691,134.7191,146.8856,596.7438,87.38486
69437.7111,352.8706,429.6967,498.6526,170.6064,0.0,249.139,135.6311,-1.335144e-05,126.0459,80.73309,183.4257,45.56945,117.9102,191.1827,214.3588,20.98462,124.1515,141.1857,609.145,77.95634
69437.911022,336.1477,455.2647,460.5064,185.1286,0.0,257.1694,151.1239,-1.144409e-05,118.0637,72.64639,172.281,42.15793,130.3586,244.5548,203.6857,19.5827,114.4129,140.3357,600.28,74.06253
69438.110944,314.7726,433.6155,425.2784,195.5268,0.0,287.3244,163.5675,-1.144409e-05,110.5871,65.3697,161.8134,39.00181,151.4649,311.9821,193.5441,18.27444,140.0614,130.151,568.1553,79.11285
69438.310866,294.7567,437.0764,443.5241,184.7945,36.35271,281.5263,177.2562,165.2478,103.5839,58.82189,151.9818,36.08197,163.2328,374.3627,183.9073,17.05358,162.3386,120.7055,537.7499,70.57684
69438.510788,276.0137,454.3822,409.5951,174.6513,32.81845,265.7863,177.288,218.1748,97.02418,52.92995,142.7475,48.69168,151.4635,464.3978,174.7504,15.91428,149.6045,139.231,508.9716,87.7078
69438.71071,258.4624,482.4311,382.7682,213.7374,35.75129,250.9263,224.6076,205.7032,130.4873,47.62817,134.0743,45.04642,168.4439,508.3005,166.0495,14.85109,137.8693,129.1265,481.7335,99.00342
69438.910632,272.2451,515.4679,353.4871,202.0055,32.2755,290.772,255.1234,686.0617,122.2238,42.85746,125.9281,59.92234,168.9592,591.0233,157.7817,13.85894,171.3313,119.7553,455.953,125.8501
69439.110554,254.9335,501.961,344.9472,335.9908,29.13764,303.006,244.4129,1310.705,114.4837,58.28907,118.2768,107.7345,156.7771,630.5721,223.1485,50.57011,214.1556,111.0643,431.5522,127.0335
69439.310476,274.5609,478.0913,318.5592,350.3868,26.30484,310.3958,286.82,1415.863,107.2338,96.13673,111.0905,116.2507,190.4894,612.1385,229.8137,76.69878,233.9133,103.0039,454.6766,116.6687
69439.510398,289.6289,455.3567,303.9325,359.861,23.74745,322.0587,403.7021,1334.927,119.4271,93.02473,104.3407,124.8508,245.0627,599.9344,249.2673,71.57475,241.5453,95.52853,430.3441,153.0315
69439.71032,271.2119,439.3358,285.1371,340.1085,21.43869,321.2771,425.9837,1463.005,149.5058,126.9968,98.0011,130.4239,236.9397,588.0451,323.6125,101.5164,261.2458,88.59568,407.3138,171.594
69439.910242,253.966,448.6154,274.32,321.4402,39.83368,303.3146,542.5905,1710.059,152.7394,126.1078,92.04665,123.5421,238.1565,629.5534,379.5318,114.7705,244.665,112.1898,385.516,159.9404
69440.110164,254.3901,440.6995,253.3349,303.7967,35.96099,286.3564,560.0395,1720.736,157.2646,137.3349,86.45399,141.4874,220.9852,630.136,394.6799,107.103,248.5336,123.56,402.4078,165.9987
69440.310086,238.2139,440.041,233.9552,287.1216,32.46482,313.1719,627.3898,1785.177,161.1331,123.5786,81.20114,174.3887,233.2962,759.2849,389.0292,99.94778,253.6352,114.5928,392.5891,179.3335
69440.510008,223.0662,419.1158,228.1269,292.8715,29.30855,321.6253,722.1185,1738.886,150.9289,127.1141,76.26745,161.3332,270.8077,880.0591,392.5404,93.27057,243.8066,138.3579,415.0474,180.9725
69440.70993,238.9677,399.1856,210.6755,289.7998,46.14226,303.6434,788.5836,1733.535,181.3375,123.8472,71.63351,171.4247,272.8582,861.5378,411.3539,87.03944,238.0482,128.3168,392.8357,184.6987
69440.909852,239.8576,401.1223,257.5607,273.8929,57.84273,286.6669,769.6631,1718.533,220.7087,136.2294,67.28114,158.5911,253.1848,858.5525,422.7873,81.22459,245.7642,150.9073,371.8127,172.4965
69441.109774,224.6054,398.9888,247.3998,275.3136,52.21919,270.6395,736.8059,2091.891,206.7318,124.2126,63.1932,146.7183,234.93,837.2183,437.4324,89.20267,249.2683,147.6503,351.9147,174.8642
69441.309696,210.3231,386.2633,228.4741,287.2581,64.45535,272.9719,754.4541,2136.054,226.7419,153.8685,59.35365,135.7343,217.9913,797.058,422.9742,102.4521,229.7153,205.207,360.8079,189.0491
69441.509618,208.086,378.8697,223.4311,276.9912,78.71214,261.7741,751.2355,2511.517,250.5261,138.4562,55.74738,165.8741,202.2739,803.9781,457.4413,130.6649,211.696,267.8277,341.4989,168.6513
69441.70954,194.8541,377.5155,216.2242,281.8669,77.66895,261.2433,731.5609,2599.077,253.0882,124.5876,52.36023,153.456,187.6898,796.567,434.6649,121.9356,195.0902,291.3029,366.2244,162.4641
69441.909462,184.1226,359.5636,227.8192,276.7343,105.8705,260.1673,714.9498,2540.847,247.7545,123.1734,49.17887,141.9677,174.1572,786.1375,413.0225,113.7894,179.787,277.6978,358.5093,173.251
69442.109384,172.4146,342.4653,237.4851,283.5978,112.9907,255.2092,690.1108,2459.866,232.0648,122.2634,46.19082,193.55,161.6003,759.3672,392.4578,106.1875,165.6842,257.5443,375.9875,154.5578
69442.309306,165.6315,326.1801,219.3178,268.0314,102.0056,240.9406,681.0701,2385.646,233.9541,116.6356,43.38431,179.0601,149.9487,716.5924,372.917,99.09342,152.6877,273.2259,409.5883,146.8649
