cellName,snr,mad,eventRate,eventAmpMedian,eventAmpSD,riseMedian,riseSD,decayMedian,decaySD,numContourComponents,overallCenterInPixelsX,overallCenterInPixelsY,overallAreaInPixels,overallMaxContourWidthInPixels,largestComponentCenterInPixelsX,largestComponentCenterInPixelsY,largestComponentAreaInPixels,largestComponentMaxContourWidthInPixels
C00,0,0,0,0,0,0,0,0,0,4,-9223372036854775808,-9223372036854775808,89.5,271.074,355,381,58,22.2036
C01,5.89296,39.5189,0.00889234,232.883,513.262,0.249903,0.086569,0.79969,3.72951,1,433,268,186,18.6815,433,268,186,18.6815
C02,4.37536,22.4834,0.0500194,98.373,137.207,0.199922,0.091858,0.299884,1.03487,1,275,101,172,18.7883,275,101,172,18.7883
C03,7.29952,32.2346,0.0300116,235.297,219.275,0.199922,0.642949,0.999612,5.45526,1,338,250,193,18.7883,338,250,193,18.7883
C04,7.64763,46.9391,0.0322347,358.973,344.337,0.299884,1.15071,1.69934,2.21896,1,276,200,201.5,17.4642,276,200,201.5,17.4642
C05,9.67123,38.6781,0.0722502,374.065,338.706,0.299884,0.872147,1.49942,2.14414,1,203,279,172.5,17.4929,203,279,172.5,17.4929
C06,0,0,0,0,0,0,0,0,0,1,479,279,161.5,22.0907,479,279,161.5,22.0907
C07,8.75553,25.74,0.0466848,225.367,143.024,0.199922,0.441686,0.949632,1.35476,1,181,197,177.5,24.0416,181,197,177.5,24.0416
C08,5.92635,33.2756,0.0600233,197.203,164.041,0.199922,0.200385,0.79969,0.774177,1,245,210,178.5,18.3576,245,210,178.5,18.3576
C09,8.92992,41.8793,0.01445,373.979,211.67,0.299884,0.972327,1.19953,1.61587,2,313,261,214,21.2603,317,264,206,21.2603
C10,8.50368,37.3159,0.012227,317.323,309.3,0.299884,0.398707,4.59822,6.33438,1,251,149,194.5,18.868,251,149,194.5,18.868
C11,5.26223,49.3974,0.026677,259.941,231.073,0.299884,0.347476,1.14955,1.62495,1,359,137,177.5,18.1108,359,137,177.5,18.1108
C12,0,0,0,0,0,0,0,0,0,1,522,323,169.5,43.0813,522,323,169.5,43.0813
C13,0,0,0,0,0,0,0,0,0,5,-9223372036854775808,-9223372036854775808,150.5,54.9181,439,167,149.5,20.5183
C14,7.15394,45.7159,0.0222308,327.048,170.925,0.299884,0.137787,1.09957,0.540161,1,287,166,194,18.3576,287,166,194,18.3576
C15,5.43811,58.6102,0.0188962,318.729,291.875,0.299884,0.387148,2.29911,3.10912,1,428,155,201,17.4642,428,155,201,17.4642
