Time (s), Cell Name, Value
30.987978, C01, 275.9903
119.953466, C01, 809.6187
120.553234, C01, 891.027
190.825973, C01, 228.1133
219.414883, C01, 204.7637
241.206429, C01, 174.9303
474.515923, C01, 180.4837
538.591066, C01, 219.8977
1.69934, C02, 100.8097
2.998836, C02, 114.5445
5.197983, C02, 99.77341
10.096083, C02, 258.3405
19.592399, C02, 161.8886
19.792322, C02, 120.6916
20.791934, C02, 111.0999
21.791546, C02, 102.3157
24.190615, C02, 92.34665
37.68538, C02, 234.0573
48.181309, C02, 335.2414
65.574561, C02, 136.526
66.574174, C02, 120.5476
80.16889999999999, C02, 95.80847
80.96859000000001, C02, 106.186
106.258779, C02, 92.05402
106.658624, C02, 99.22746
109.057693, C02, 100.2552
109.257616, C02, 100.5312
155.039856, C02, 219.9587
163.836443, C02, 125.6844
168.634582, C02, 137.8696
177.631092, C02, 248.594
182.729114, C02, 121.5846
261.69848, C02, 121.9727
286.288941, C02, 584.7994
288.68801, C02, 463.7305
342.267225, C02, 90.38841
343.266837, C02, 110.3091
410.54074, C02, 94.58163
481.713131, C02, 103.4946
491.50933, C02, 93.98334
501.705375, C02, 96.01439
513.700722, C02, 141.3601
526.9955639999999, C02, 122.7666
532.793315, C02, 216.4789
535.0924230000001, C02, 92.52248
586.172608, C02, 101.6196
665.042013, C02, 161.4892
668.440694, C02, 103.6604
776.198892, C02, 97.81627
788.094277, C02, 209.8782
788.4941219999999, C02, 124.3504
833.076828, C02, 93.92749
863.365078, C02, 125.4951
24.490499, C03, 159.0223
249.503211, C03, 157.895
289.587661, C03, 277.3446
291.287002, C03, 157.426
295.985179, C03, 166.7509
302.082814, C03, 168.7969
335.369901, C03, 229.5768
336.469474, C03, 148.6212
337.469087, C03, 235.0785
338.068854, C03, 141.7039
339.668233, C03, 212.1308
342.467148, C03, 527.4
345.565946, C03, 261.9595
346.065752, C03, 209.5186
346.565558, C03, 238.5228
396.746091, C03, 226.8053
399.844889, C03, 160.0574
450.525229, C03, 131.7892
526.9955639999999, C03, 198.3462
532.893276, C03, 258.2963
539.9905230000001, C03, 137.9813
544.088933, C03, 134.0115
568.779355, C03, 145.867
591.770437, C03, 327.4991
593.769661, C03, 152.6552
617.860316, C03, 204.7031
746.61037, C03, 165.4126
11.595501, C04, 381.1628
17.293291, C04, 927.7983
21.491662, C04, 722.7791
87.06622400000001, C04, 251.545
94.163471, C04, 267.0873
106.758585, C04, 345.9844
212.517558, C04, 1217.248
223.813177, C04, 292.5152
335.469862, C04, 605.668
337.269164, C04, 408.1574
338.468699, C04, 281.4194
345.266062, C04, 267.2171
397.045975, C04, 299.5788
499.806112, C04, 270.1377
703.5270829999999, C04, 349.011
