 Time, C00, C01, C02, C03, C04, C05, C06, C08, C09, C10, C11, C12, C13, C14, C15, C16, C18, C19
101653.0581,0.0,0.0,0.0,0.0,0.0,0.0,63.6528,0.0,0.0,0.0,0.0,0.0,0.0,52.2926,31.93585,0.0,43.99219,121.0957
101653.1581,0.0,16.35994,0.0,0.0,0.0,37.23166,60.30468,0.0,147.9615,0.0,0.0,3.05e-05,0.0,159.6406,43.57288,3.05e-05,122.5981,127.7304
101653.2582,0.0,21.65211,0.0,0.0,-0.00012207,101.9995,57.13268,0.0,198.5093,0.0,0.0,3.05e-05,0.0,147.2699,126.0294,3.05e-05,224.8899,180.1072
101653.3582,0.0,20.73252,0.0,4.161411,-0.00012207,116.4016,54.12752,0.0,329.3557,27.06395,-1.53e-05,6.1e-05,0.0,135.8578,146.6106,0.0,275.5657,261.1623
101653.4583,0.0,55.8079,0.0,33.50079,-0.00012207,110.5712,51.28043,0.0,358.928,25.35386,-1.53e-05,31.65298,6.1e-05,125.33,258.4575,0.0,270.9117,334.4869
101653.5584,0.0,87.06619,0.0,37.62283,-0.00012207,109.3919,48.58309,0.0,402.4512,23.75182,-1.53e-05,29.80624,47.80139,115.6181,245.3505,0.0,433.4809,314.2794
101653.6584,0.0,91.12086,0.0,35.39853,-0.00012207,103.9127,46.02765,0.0,418.7142,22.25102,0.0,62.6713,229.7969,106.6587,303.5843,3.05e-05,405.2367,295.2927
101653.7585,39.42555,87.25087,0.0,33.30574,32.39465,147.7776,62.12827,0.0,424.4886,20.84504,-1.53e-05,96.96201,345.038,98.39357,288.1889,6.1e-05,378.8328,277.453
101653.8586,37.59491,83.54524,0.0,31.33667,57.01978,187.4338,58.86034,0.0,403.8128,19.52791,-1.53e-05,145.3612,333.4495,90.76894,277.0043,6.1e-05,354.1492,319.9756
101653.9586,92.11632,79.99699,0.0,43.3301,64.27655,302.5831,55.76431,0.0,404.8924,18.29399,0.0,136.8804,361.7028,83.73515,262.9569,6.1e-05,353.7713,300.6447
101654.0587,87.83908,76.59944,0.0,40.76838,120.2801,370.0765,52.83112,0.0,400.3026,17.13805,96.62685,142.8819,441.4459,108.4148,249.6218,50.69003,365.5387,378.5068
101654.1587,83.76045,73.34618,0.0,52.7374,164.9454,386.8705,50.05222,0.0,374.9605,16.05515,91.47975,134.5458,517.8904,112.1719,236.9629,73.64864,396.8333,385.4694
101654.2588,79.87119,70.23109,0.0,49.61951,177.3234,373.6511,47.41949,0.0,394.5258,25.60321,86.60686,171.6988,564.0718,103.4796,230.9795,109.2408,398.2571,392.9458
101654.3589,76.16251,67.24831,0.0,49.81257,169.4205,514.2462,71.27489,0.0,369.5494,55.82071,81.99352,174.4009,595.7322,95.46085,225.4738,104.1149,504.4567,419.9371
101654.4589,72.62604,64.3922,0.0,46.86761,172.9948,665.6689,67.52586,0.0,388.5096,135.0085,77.62592,267.4615,634.6721,88.06348,222.8208,99.22955,471.5878,394.5673
101654.559,88.45834,61.6574,0.0,44.09674,301.9127,776.9565,96.99927,0.0,363.914,151.3974,73.49097,282.2091,639.3472,124.9126,256.9998,94.57339,454.6068,537.8486
101654.659,84.35094,59.03875,0.0,41.4897,288.4572,956.47,91.89714,0.0,414.9453,220.2371,220.4381,309.652,610.4027,115.233,243.9668,90.13573,424.9861,578.0999
