Time,C00,C01,C02,C03,C04,C05,C06,C08,C09,C10,C11,C12,C13,C14,C15,C16,C18,C19
7310.449062,161.9246,0,39.93095,0,0,103.8005,0,0,0,0,0,0,83.21036,0,63.89595,0,0,114.953
7310.549123,216.3112,41.97734,50.89348,20.34461,29.64807,98.44968,6.10E-05,-3.05E-05,0,0,0,3.05E-05,119.7396,0,60.41058,-6.10E-05,16.65259,108.963
7310.649185,383.4213,40.03442,47.41698,32.69184,49.10498,93.37473,3.05E-05,-3.05E-05,0,0,0,3.05E-05,183.1621,0,104.2625,-6.10E-05,43.46106,103.2851
7310.749246,436.7635,38.18143,44.17796,30.83022,50.93628,111.7248,3.05E-05,0,0,7.63E-06,-3.05E-05,3.05E-05,213.7382,0,138.0446,0,55.2225,97.90306
7310.849308,417.4202,71.26216,41.1602,44.09315,75.75098,105.9655,0,-3.05E-05,0,0,-3.05E-05,3.05E-05,262.3613,0,175.5746,24.73349,50.99539,92.80147
7310.949369,468.0236,74.86465,38.34858,58.21603,147.4103,100.5031,18.13785,0,0,0,0,19.66348,285.0651,0,165.9974,23.43579,132.144,87.96571
7311.049431,579.7205,71.39955,54.49001,62.59987,199.3459,106.0594,17.17758,0,0,0,0,86.29178,305.2703,0,156.9427,106.4767,122.0289,83.38195
7311.149493,698.7354,68.09483,77.26311,59.03513,190.766,101.0901,28.84113,0,0,7.63E-06,0,81.34921,320.1232,1.91E-06,155.4125,100.8902,134.7988,79.03704
7311.249554,675.447,64.94307,71.98532,55.67339,182.5555,186.6171,27.31421,0,0,0,0,76.68979,337.1123,0,202.6989,122.5764,124.4804,74.91854
7311.349616,645.5327,77.59705,67.06806,52.50309,174.6984,198.7417,49.53311,0,0,0,3.05E-05,72.29721,337.6209,1.91E-06,240.6905,139.1807,165.1235,71.01464
7311.449677,664.1868,74.00548,62.48669,49.51331,175.2409,222.6389,46.91071,0,0,0,30.62247,122.3107,318.8705,1.91E-06,227.5614,159.8821,188.0159,67.31418
7311.549739,634.7714,70.58014,58.21827,52.20295,288.5635,313.2271,103.0393,0,0,0,67.07986,142.8764,301.1615,0,218.5997,172.823,288.567,63.80653
7311.649801,639.3822,67.31334,54.24142,63.86393,306.739,350.0863,102.3315,0,0,0,97.30838,232.2669,391.4954,0,247.3494,176.1277,294.4258,60.48166
7311.749862,611.0652,95.0279,50.53624,60.22722,293.537,362.4551,150.0035,0,0,0,217.1494,267.4372,369.7529,0,233.8571,177.9726,297.0347,57.33005
7311.849924,752.2151,90.62953,47.08414,56.7976,290.2434,526.566,142.0619,0,0,3.81E-06,219.2417,252.1192,349.218,-1.91E-06,257.2385,168.6349,274.2977,54.34266
7311.949985,886.549,86.43475,43.86786,53.56328,277.7515,732.3867,134.5407,0,0,0,206.164,283.9243,329.8235,-1.91E-06,243.2068,200.7089,278.5919,51.51094
7312.050047,916.9528,82.43412,40.87128,50.51313,298.821,741.4188,127.4177,1.53E-05,0,-3.81E-06,193.8664,279.8738,351.9311,-1.91E-06,234.2868,209.793,283.3915,48.82678
7312.150108,876.3427,78.61866,38.0794,47.63668,322.2419,829.4615,120.6718,59.77173,0,-3.81E-06,298.0005,306.5674,362.0487,-1.91E-06,221.507,230.9666,261.6988,46.28249
7312.25017,878.7958,74.9798,35.47823,44.92402,391.8331,786.7038,114.2831,59.89374,0,63.17965,288.9726,289.0081,417.1742,0,209.4243,262.2962,241.6667,43.87077
7312.350232,839.8757,71.50937,33.05474,42.36584,500.6044,746.1502,108.2326,191.7718,0,84.85115,271.7355,272.4546,394.0056,0,198.0007,328.5247,304.0697,41.58473
7312.450293,802.6792,68.19955,30.79679,39.95333,479.7037,707.687,124.8949,339.3816,0,78.97293,349.4373,280.133,409.5964,1.91E-06,249.9676,376.6591,280.7942,102.467
7312.550355,819.6245,65.04293,28.69308,37.67821,486.1165,671.2066,118.2826,404.4103,0,100.7695,388.2764,273.5646,417.9557,0,286.5477,386.5411,335.3491,122.0488
7312.650416,904.1324,62.03242,26.73308,35.53263,465.1942,636.6068,147.3064,597.906,0,122.4431,377.0212,257.8956,476.4199,0,313.6086,442.6116,412.195,115.689
7312.750478,971.4187,72.85433,24.90697,33.50924,583.6829,603.7904,139.5076,701.4357,0,131.123,359.6139,273.1198,449.9611,0,349.3191,456.8691,420.5796,109.6606
7312.85054,1037.363,69.48227,23.20559,31.60106,583.4656,572.6658,160.077,746.5072,0,153.8944,387.8928,299.7812,454.3463,0,542.5363,502.0253,405.0582,103.9464
7312.950601,1011.744,66.26628,21.62043,29.80155,576.9839,572.9089,187.8189,828.0961,0,200.9463,374.2389,282.6106,429.1134,9.54E-07,542.2833,495.0422,508.9261,98.52985
7313.050663,989.6768,63.19915,20.14356,28.10451,720.0432,561.3784,227.9531,776.9464,0,193.0002,380.5884,318.7042,405.2818,9.54E-07,678.8655,583.4703,541.311,93.3956
7313.150724,1116.079,60.27398,18.76757,26.50411,792.2584,554.5767,233.5831,746.0192,0,221.8857,379.8935,300.4498,382.7737,9.54E-07,674.0592,616.7779,536.8754,88.52888
7313.250786,1131.313,62.30787,17.48557,24.99484,777.0231,571.0502,266.8008,699.9392,0,206.5142,393.7278,337.5439,448.7048,9.54E-07,687.0836,661.5779,495.7793,121.0586
7313.350847,1243.84,59.42395,49.09387,23.57152,793.9475,559.4913,259.9077,656.7054,0,192.2076,370.2421,334.4058,482.3989,9.54E-07,719.9147,654.3445,457.8291,123.9965
7313.450909,1291.329,56.67352,86.51321,22.22925,825.0813,530.6503,246.1474,646.7042,0,178.892,348.1572,315.252,455.608,9.54E-07,731.1895,648.7913,422.7838,117.5352
7313.550971,1378.831,61.01211,80.60357,64.05756,876.3704,515.4708,245.489,606.7587,0,166.4989,327.3898,297.1953,532.8157,9.54E-07,716.7105,614.7512,390.4211,119.9232
7313.651032,1385.38,92.43153,75.0976,111.0421,953.3401,504.3036,290.8564,615.6075,0,154.9644,348.3112,300.4943,503.2248,9.54E-07,677.6157,609.6636,360.5357,124.518
7313.751094,1324.024,123.5076,69.96774,104.7189,912.3086,478.3073,275.4576,577.5828,0,165.4317,327.5345,283.2829,513.676,9.54E-07,640.6534,611.9529,332.9379,118.0296
7313.851155,1265.385,117.7911,65.18829,220.8119,908.5737,521.5139,333.8425,541.9067,0,171.8627,307.9973,267.0573,506.0136,0,605.7073,579.8455,363.3498,111.8792
7313.951217,1209.344,112.3391,60.73534,413.6887,869.469,502.2143,359.6731,508.4343,0,173.4326,383.7322,251.761,477.9112,9.54E-07,572.6675,565.3682,367.3622,106.0494
7314.051279,1155.784,119.0843,56.58655,452.9613,890.1334,476.3257,402.4278,477.0294,63.5457,209.418,459.7199,264.5576,451.3695,9.54E-07,574.0259,634.3137,402.3563,100.5233
7314.15134,1170.435,113.5725,52.72117,558.1207,930.8099,456.3957,472.91,447.5643,106.9047,368.4823,460.3789,276.2609,426.3018,9.54E-07,590.4667,700.7305,475.987,138.3849
7314.251402,1196.208,108.3158,49.11983,603.2589,993.9612,439.2735,465.28,419.9192,168.3881,437.0087,459.0482,341.8096,402.6264,1.43E-06,590.2178,789.3683,539.0192,240.7949
7314.351463,1307.467,110.1172,45.76449,1165.979,996.3289,438.6044,440.6467,393.9817,207.9218,496.9962,493.0038,359.4734,380.2658,1.91E-06,582.1196,874.6434,596.8149,228.2474
7314.451525,1286.876,105.0204,42.63835,1522.267,993.4009,415.9948,417.3175,369.6462,305.3886,462.5659,463.5963,402.3268,359.147,1.91E-06,583.4923,977.6812,551.1307,256.451
7314.551586,1614.276,102.7009,39.72575,1600.479,963.1135,394.5508,395.2234,346.814,289.0515,430.5208,435.9429,379.2827,339.2011,1.91E-06,559.4269,992.2969,535.4919,302.3148
7314.651648,1766.877,97.94736,37.01212,1546.834,927.6421,374.2122,492.537,325.392,273.5883,400.6957,409.9391,357.5585,339.9275,1.91E-06,565.134,973.6245,511.6955,286.5616
7314.75171,1845.136,93.41387,34.48385,1529.604,893.2822,354.922,531.9382,305.2932,258.9524,372.9368,385.4863,337.0786,348.5809,1.43E-06,555.6725,968.0339,537.9271,271.6292
7314.851771,1811.52,89.09022,32.12828,1472.596,854.8354,336.6262,503.7758,286.4359,245.0994,347.1009,362.4922,317.7718,439.0884,1.91E-06,640.0237,1025.126,496.7506,342.2319
7314.951833,1786.633,84.96667,29.93363,1388.739,818.0436,319.2736,477.1044,268.7434,231.9875,323.0549,340.8697,299.5707,430.2871,1.91E-06,653.1389,1084.318,491.3926,324.3987
7315.051894,1749.785,81.034,27.88889,1339.869,782.8351,332.4537,539.7817,252.1437,219.5771,300.6747,368.2025,282.4122,406.3903,1.91E-06,623.2985,1139.342,464.8613,307.4948
7315.151956,1749.147,77.28334,25.98382,1438.278,749.1422,340.0888,587.6888,236.5693,207.8306,279.8449,383.8121,266.2365,383.8207,1.91E-06,589.2991,1100.139,480.9108,291.4716
7315.252018,1750.005,73.70628,24.20888,1383.522,716.8993,409.3353,556.5748,221.9569,196.7124,260.4581,360.9179,250.9872,362.5045,1.91E-06,557.1542,1042.418,499.9022,316.2299
7315.352079,1672.5,70.2948,22.55519,1304.738,686.0441,463.609,598.4879,208.2471,186.1891,242.4144,383.0617,308.1078,342.3721,1.43E-06,545.113,1129.304,461.6363,347.655
7315.452141,1700.514,67.0412,21.01446,1274.2,656.5169,439.7105,629.3309,195.3841,176.2287,225.6207,392.5691,333.801,396.5178,1.43E-06,517.4151,1078.201,455.1649,329.5392
7315.552202,1625.202,63.9382,19.57898,1201.641,628.2606,417.044,634.7847,212.0986,166.8011,245.7352,409.2148,346.7651,374.4965,1.43E-06,527.3743,1052.476,420.3236,349.4506
7315.652264,1553.225,69.13005,18.24155,1133.214,628.5639,395.5459,605.0147,298.5821,157.8779,228.7114,384.8053,326.9034,416.4234,1.43E-06,522.4159,1061.655,388.1492,331.2412
7315.752325,1549.039,65.93037,61.60201,1068.684,665.6475,427.5855,618.9918,365.4257,149.432,221.7848,395.2464,339.1819,446.8352,1.19E-06,580.3888,1140.437,358.4377,358.0087
7315.852387,1511.95,62.87878,68.57042,1007.828,654.0523,421.785,593.2906,342.8541,141.438,248.233,438.9272,348.2308,525.7037,1.19E-06,637.0821,1080.602,352.8174,355.318
7315.952449,1566.704,59.96844,63.88642,950.4374,670.4058,417.6266,579.4364,378.8621,133.8716,231.0362,412.7454,328.2852,496.5078,1.43E-06,602.3308,1023.906,472.7285,336.8029
7316.05251,1497.318,60.94091,59.52238,896.3151,641.5518,428.7664,548.7593,355.4605,126.7099,215.0308,427.4247,309.482,487.1083,1.43E-06,569.4752,1027.21,436.5427,377.0009
7316.152572,1478.605,87.9631,55.45646,845.2747,637.9282,406.664,646.1317,439.7816,119.9314,200.1341,460.3087,352.9449,503.8849,1.19E-06,538.4117,973.3149,435.7006,357.356
7316.252633,1413.121,83.89174,51.66827,797.1409,636.6565,385.701,677.365,484.0253,113.5156,186.2695,546.2335,332.7293,484.6511,9.54E-07,509.0426,922.248,454.5812,338.7346
7316.352695,1350.537,80.00881,48.13885,751.7479,618.8589,396.6073,649.8187,489.8502,107.4429,173.3653,513.6509,313.6715,492.33,9.54E-07,481.2756,881.0391,443.1437,321.0836
7316.452757,1333.661,86.67931,44.85052,708.9399,604.1287,376.1626,653.9957,459.5932,101.6951,161.3551,483.0117,295.7054,489.6483,9.54E-07,455.0232,902.933,472.3752,304.3524
7316.552818,1298.939,88.8979,41.78682,691.2158,636.4313,356.7719,698.4346,431.2051,96.25484,150.177,454.2003,278.7682,497.4781,9.54E-07,430.2028,903.7203,436.2164,288.493
7316.65288,1244.719,84.78326,38.93239,651.8547,624.3683,351.9527,762.4059,404.5705,91.10557,139.7732,427.1074,357.0535,561.0237,9.54E-07,406.7363,871.0367,402.8255,273.4601
7316.752941,1209.167,97.18658,36.27295,625.5354,659.6474,333.81,739.7321,379.581,86.23177,130.0901,401.6306,349.3731,595.7232,9.54E-07,384.5498,883.5856,371.9906,259.2105
7316.853003,1282.705,104.3954,64.0358,599.834,687.4739,316.6025,731.7336,356.1351,81.6187,121.0779,377.6735,372.5065,611.2939,9.54E-07,363.5736,837.2264,343.5159,245.7034
7316.953064,1227.877,99.56343,59.66156,565.6766,670.6404,300.282,791.926,334.1374,77.25241,214.071,355.1454,351.1704,675.7598,9.54E-07,343.7415,793.2996,317.2209,265.312
7317.053126,1173.497,94.95514,55.58613,533.4644,657.8658,291.5568,837.7396,313.4984,73.11971,285.7977,333.9611,347.05,651.1501,1.19E-06,324.9913,826.9645,292.9387,299.3257
7317.153188,1139.383,90.56014,51.78908,503.0864,659.4546,276.5274,793.3871,363.6872,69.20808,287.5899,378.417,366.593,676.2481,1.19E-06,330.4223,835.0842,270.5153,332.7113
7317.253249,1118.608,86.36857,48.25141,474.4383,631.0719,262.2727,751.3827,417.2067,65.50571,304.6163,373.9069,345.5956,681.4993,1.19E-06,314.5393,791.2697,249.8082,315.3742
7317.353311,1108.375,82.371,44.95539,447.4216,626.8459,259.0398,711.6022,478.6646,62.0014,297.3593,351.6035,325.8009,643.6509,1.07E-06,297.382,830.4905,230.6862,298.9405
7317.453372,1245.878,78.55846,41.88452,421.9433,621.1777,290.8853,673.9279,707.0074,58.68456,286.1373,330.6304,307.14,607.9045,1.07E-06,281.1605,862.0392,213.028,283.3631
7317.553434,1363.566,74.92238,39.02342,397.9159,594.4424,285.2141,638.248,819.8267,55.54516,266.3146,310.9084,289.5479,574.1435,1.07E-06,265.8239,816.8106,196.7214,278.6763
7317.653496,1335.186,71.4546,106.8456,375.2567,593.1288,330.6491,604.4573,843.8272,52.57371,268.944,320.4384,272.9635,553.2823,1.07E-06,251.3239,773.955,181.663,264.1549
7317.753557,1327.521,68.14732,340.5689,353.8878,567.6007,368.4732,572.4554,1008.982,49.76122,250.3124,301.3243,257.3289,545.4839,184.758,237.6148,840.2508,167.7573,296.7724
7317.853619,1511.574,64.99313,527.1776,390.78,590.2343,349.4789,542.1479,1102.515,47.09918,296.3748,283.3504,272.8064,548.0929,261.4355,237.0119,878.3401,154.9161,281.308
7317.95368,1597.716,61.98492,537.1382,368.5271,568.7418,331.4637,612.9372,1124.107,44.57955,294.4302,266.4487,257.1809,541.8428,249.6895,246.1271,914.1602,143.0578,292.4533
7318.053742,1526.956,59.11595,522.3556,347.5415,586.9973,322.2218,693.5386,1119.15,42.19472,274.033,250.5551,321.1481,511.7506,238.4712,232.7015,866.1968,132.1072,277.214
7318.153803,1459.33,56.37976,518.1937,340.8596,627.4187,305.6117,656.8205,1091.116,39.93746,255.0489,286.1637,302.7537,508.4562,227.7569,245.1123,828.2971,121.9948,262.7688
7318.253865,1427.591,53.77023,482.7962,321.4495,600.4148,289.8578,622.0464,1023.721,37.80096,280.4886,303.1047,285.4129,480.2181,217.524,231.742,835.4362,112.6565,283.9674
7318.353927,1412.193,51.28148,486.5271,303.1447,636.312,274.916,658.1536,960.4875,35.77876,415.7847,314.6924,269.0653,453.5483,207.7508,309.2846,813.5912,104.033,269.1702
7318.453988,1482.701,48.90791,453.2928,349.9193,640.1464,260.7444,670.6283,901.1603,33.86473,466.921,316.6426,253.654,428.3597,198.4167,400.4474,845.8199,164.0171,262.8648
7318.55405,1476.689,56.22929,422.3287,425.8759,639.4349,247.3033,655.7963,845.4975,32.05309,434.5742,313.9724,239.1255,479.0923,189.5021,469.7507,801.4423,151.4621,268.0745
7318.654111,1482.433,75.90135,393.4798,401.6245,640.7036,234.5551,621.0765,793.2729,30.33838,404.4683,378.4265,225.4291,602.1481,180.9879,492.2237,780.2703,223.9601,254.1055
7318.754173,1579.572,72.38827,366.6015,378.7542,639.9413,222.4641,588.1948,744.2741,28.71539,376.448,394.6405,212.5172,597.9327,172.8563,476.2841,739.3318,206.8167,271.0303
7318.854235,1607.545,69.03778,341.5592,357.1861,647.7823,225.9744,693.4017,698.3019,27.17922,350.3689,406.5259,200.3448,661.6542,165.09,591.6428,707.8602,219.6227,256.9073
7318.954296,1644.314,65.84237,318.2275,336.8463,699.6453,214.3257,666.6679,655.1693,25.72524,326.0965,382.2768,316.3558,654.8343,157.6727,582.3057,746.2137,238.0988,243.5202
7319.054358,1645.646,62.79486,296.4897,345.7904,734.2197,247.9137,695.0204,614.7009,24.34904,303.5056,359.4741,328.8898,667.3133,150.5886,570.3863,707.0621,240.8309,230.8307
7319.154419,1626.795,77.43827,276.2367,340.9796,768.0649,281.2428,665.0707,576.7321,23.04646,282.4797,338.0316,411.1539,671.8105,143.8228,539.2731,720.5774,222.396,218.8025
7319.254481,1554.747,73.85404,257.3672,321.5627,859.5319,266.7451,629.8599,630.1851,21.81356,262.9104,317.8681,387.6042,688.6022,137.3609,581.1255,682.7708,288.9989,207.401
7319.354542,1497.328,70.43571,239.7866,303.2514,823.4623,254.469,596.5132,591.2599,20.64662,244.6968,298.9074,365.4034,746.1946,131.1894,553.5507,646.9479,274.2566,196.5936
7319.454604,1571.877,67.17559,223.407,285.9828,847.7426,332.5965,574.7601,554.7391,19.5421,227.745,281.0777,344.4742,711.3484,125.2952,523.3558,622.549,330.9854,186.3494
7319.554666,1606.062,64.06637,208.1462,269.6976,811.256,315.4515,551.9967,520.474,18.49668,211.9675,264.3115,324.7437,718.8791,119.6658,494.8081,615.0357,305.6495,231.9361
7319.654727,1661.834,61.10106,193.9279,254.3398,799.4819,362.6895,522.7723,488.3254,17.50717,197.2831,248.5454,306.1434,678.9548,114.2893,467.8175,616.7163,282.2531,288.1391
7319.754789,1588.235,58.273,180.6808,239.8565,818.0975,391.5113,495.0952,458.1626,16.57061,183.616,233.7198,288.6084,650.9847,109.1544,442.2992,638.4849,260.6476,273.1246
7319.85485,1533.287,58.50716,168.3387,226.1979,800.4189,414.0488,485.4553,429.8629,15.68414,170.8956,219.7785,272.0778,614.8311,104.2502,418.1729,662.5806,240.6958,258.8924
7319.954912,1465.381,55.79916,156.8396,213.3172,765.9692,426.8641,476.758,403.3112,14.8451,159.0565,206.6688,256.494,674.3924,99.56635,395.3626,686.4205,250.8794,245.4019
7320.054974,1400.482,53.2165,146.126,201.1699,733.002,411.4397,525.1074,378.3995,14.05094,148.0376,194.341,241.8028,787.7562,95.09292,373.7965,670.7892,257.9558,232.6144
7320.155035,1356.08,132.7777,136.1442,189.7143,701.4538,390.2305,572.3363,355.0266,13.29927,137.782,182.7487,227.953,808.9041,90.82048,353.4068,658.8327,250.2215,220.4932
7320.255097,1296.022,126.6321,126.8443,218.2421,674.8001,370.1146,542.0351,333.0974,12.58781,128.2369,273.0141,214.8966,903.6631,86.74,334.1294,671.6069,231.0678,209.0036
7320.355158,1238.624,120.7709,118.1797,205.8144,645.7569,351.0356,513.3381,312.5226,11.91441,119.3531,344.7593,293.5465,1016.927,82.84285,315.9034,729.931,234.1111,228.7382
7320.45522,1257.486,115.1811,110.1069,194.0944,617.9637,376.4422,486.1604,317.1377,11.27704,111.0847,336.8771,324.8731,1042.221,79.1208,298.6717,739.0122,216.1907,224.6287
7320.555281,1253.273,109.8499,102.5856,183.0417,591.3667,403.3606,460.4216,334.785,10.67376,103.3891,316.7825,356.0678,984.3389,75.56598,282.3799,700.2385,199.642,262.4832
7320.655343,1641.717,104.7655,95.57804,172.6185,620.5395,457.6929,436.0455,377.6889,10.10275,96.22662,297.8865,335.6733,929.6718,72.17087,266.9767,663.499,184.3601,265.9755
7320.755405,1835.098,99.91644,89.04918,162.7888,629.0854,498.9013,482.1989,364.3671,9.562295,89.56035,308.7527,316.447,878.0407,68.9283,252.4138,628.6871,361.1896,252.1159
7320.855466,1891.617,95.29181,82.96629,153.5188,654.3155,535.5404,476.7114,555.0532,9.050749,83.35589,313.1593,298.3218,829.2771,65.83141,258.2216,595.7018,394.947,263.1613
7320.955528,1807.841,90.88123,77.29893,144.7767,626.1539,532.689,451.4728,624.2373,8.566568,77.58126,306.7354,281.2348,783.2216,62.87367,274.8509,595.383,409.3173,249.4483
7321.055589,1791.163,86.67479,72.0187,136.5325,633.0038,545.7035,451.4425,643.0582,8.10829,72.20668,288.4388,265.1266,739.7239,60.04881,259.8585,590.5314,457.4067,236.4499
7321.155651,1755.045,82.66305,67.09915,128.7577,681.8766,558.5435,449.6122,603.3378,7.674527,67.20443,297.563,272.7604,698.642,57.35088,245.6838,592.1582,591.1935,224.1289
7321.255713,1897.712,78.83699,62.51566,121.4256,697.2673,602.7181,467.0581,566.0709,7.263969,62.54873,279.8135,314.7999,659.8417,54.77415,232.2824,572.6934,584.6688,282.8658
7321.355774,1813.666,84.73569,58.24526,114.5111,732.1525,625.324,487.6108,531.1059,6.875375,58.21555,381.2103,340.9547,655.4191,52.31321,259.321,584.3881,577.3273,268.126
7321.455836,1789.409,80.81371,54.26657,107.9903,700.6409,651.6519,465.4944,498.3007,6.507568,54.18256,358.4712,321.4258,679.8877,49.96282,247.3594,593.6376,551.7862,254.1544
7321.555897,1748.766,77.07324,50.55967,101.8408,670.4855,618.0601,511.1058,467.5217,6.159438,50.42896,337.0886,303.0155,642.1288,47.71804,251.1945,583.7686,531.2607,240.9107
7321.655959,1688.916,73.50591,47.10597,96.04151,656.8561,586.1998,503.7592,438.6439,5.829932,46.93541,354.8962,285.6597,606.467,45.57411,244.8656,581.6066,552.8808,228.3572
7321.75602,1614.118,84.90952,43.8882,90.57246,628.5851,555.982,495.2694,411.5498,5.518053,43.68387,361.2014,269.298,608.9984,43.5265,240.3815,603.3395,537.6802,216.4578
7321.856082,1542.631,80.97948,40.89023,85.41484,601.531,598.5769,474.0403,386.1292,131.9148,40.65759,417.345,253.8734,592.759,41.5709,229.437,571.6841,496.5226,205.1785
7321.956144,1474.311,77.23135,38.09705,80.55092,575.6413,635.3874,448.9431,362.2788,124.8579,37.84096,413.333,239.3323,584.9951,39.70316,264.8799,541.6895,458.5154,194.487
7322.056205,1467.433,73.6567,35.49466,75.96397,550.8658,695.7373,486.9549,339.9016,166.2693,35.21946,423.1736,225.624,572.8234,37.91933,250.4314,513.2687,451.3021,184.3525
7322.156267,1402.443,79.80618,33.07005,71.63824,527.1567,748.8582,461.174,318.9066,157.3745,32.77957,427.1871,212.7009,541.0106,36.21564,236.771,486.339,451.0734,174.7462
7322.256328,1340.332,76.11236,30.81106,67.55882,525.3965,757.3633,436.7581,299.2085,148.9556,30.50871,401.7055,296.4283,576.561,34.58851,290.8636,460.8222,416.5453,165.6404
7322.35639,1280.971,103.3626,28.70638,144.5765,576.2596,730.3928,426.8672,280.727,140.987,28.39516,377.744,295.9727,712.1281,33.03448,283.6271,436.6442,384.6601,157.0091
7322.456452,1272.019,98.57846,26.74547,136.3436,562.5203,755.7666,404.2676,263.3871,133.4447,26.42803,375.8225,377.4935,701.9295,31.55027,273.1031,413.7348,355.2157,148.8276
7322.556513,1237.759,94.01576,24.9185,128.5796,600.1667,744.3463,414.2947,247.1182,126.3059,24.59718,353.4048,355.8718,743.9415,30.13275,258.206,392.0273,397.9206,141.0724
7322.656575,1332.164,105.9149,23.21634,121.2576,574.3358,768.8077,405.6604,231.8542,119.5491,22.89317,332.3243,335.4885,743.5707,28.77891,244.1215,392.4504,402.8874,133.7213
7322.756636,1344.459,119.855,21.63045,114.3527,576.6844,802.86,478.6776,217.5331,113.1536,21.30721,362.2961,316.2727,767.4021,27.4859,255.5807,393.3831,505.0443,126.7533
7322.856698,1284.916,114.3076,20.15289,107.8409,562.6459,898.6956,503.7722,204.0965,132.2441,19.83111,346.357,298.1576,797.5657,26.25098,256.5407,387.0144,466.3848,120.1484
7322.956759,1269.177,122.5957,18.77626,101.6999,563.1868,861.0231,477.101,222.6811,131.1988,18.45727,383.6481,281.08,753.2714,25.07155,270.4111,411.6778,430.6846,113.8876
7323.056821,1221.334,116.9214,17.49367,95.90866,538.9474,877.3832,464.204,300.11,252.2393,17.17861,360.7637,264.9806,711.437,23.94511,264.3193,419.3643,397.7172,107.9531
7323.156883,1197.081,111.5097,16.29869,90.44717,515.7513,921.6718,491.8682,313.4947,238.7455,15.98853,369.1772,249.8033,671.9261,22.86928,254.9951,397.3615,367.2732,144.7497
7323.256944,1271.373,106.3484,15.18534,85.29668,499.327,911.0247,510.0394,294.1308,225.9735,111.1342,347.1559,235.4953,696.7039,21.84178,241.0858,438.2392,339.1597,171.8248
7323.357006,1403.275,101.6112,14.14804,138.6873,482.6601,864.0625,600.7751,275.9629,213.8848,176.4092,339.6756,222.0068,828.1315,20.86045,275.4,440.1037,313.1982,162.8712
7323.457067,1434.575,113.9087,65.6461,151.6601,490.6998,852.0167,568.9682,258.9173,202.4428,172.6286,319.4141,209.2909,782.1396,19.92321,268.9425,455.3608,289.2238,299.9974
7323.557129,1383.95,108.6364,61.16187,168.1018,469.5802,808.0963,538.8453,254.5567,191.6129,190.9035,321.2845,197.3033,738.702,19.02808,254.2724,468.1309,267.0847,294.192
7323.657191,1477.753,103.6082,56.98394,217.7393,475.6859,812.4164,510.3172,355.2165,181.3623,248.743,315.7849,186.0024,697.6768,18.17316,240.4024,523.4558,246.6403,316.0089
7323.757252,1520.649,98.81271,53.09142,205.3402,476.6256,809.8688,483.2995,604.3286,171.6601,273.8109,296.9485,175.3487,658.9301,17.35666,227.2891,569.8385,327.0191,299.5421
7323.857314,1641.543,96.34657,292.2918,234.3852,498.455,768.121,457.7121,672.0799,162.4769,254.8421,289.7145,165.3053,646.882,198.1055,214.891,609.2796,367.0329,283.9333
7323.957375,1584.776,119.7128,472.7536,224.0548,550.5106,746.1029,433.4795,630.567,153.785,276.3914,291.4573,155.8371,610.9562,279.9727,203.1692,577.3125,338.9378,269.138
7324.057437,1625.072,114.1719,542.538,231.3042,526.8168,707.6422,410.5297,591.6182,145.5581,257.2439,289.8022,146.9112,666.4971,318.6829,192.0869,660.6013,368.5658,255.1136
7324.157498,1553.101,111.9807,517.9323,218.1327,504.1427,671.1641,388.795,555.0752,137.7713,239.4229,272.5157,138.4966,629.482,304.3647,181.609,693.9945,362.5099,241.82
7324.25756,1532.128,108.268,535.5869,369.1073,500.1782,728.6155,368.211,520.7894,130.4011,276.5647,267.3831,130.5639,594.5225,290.6899,171.7027,678.7446,334.761,229.2191
7324.357622,1524.427,103.2568,499.0013,988.5438,478.6506,691.0563,379.8261,488.6213,123.4251,257.4052,303.3382,123.0856,561.5046,277.6295,162.3367,712.9948,309.1361,217.2748
7324.457683,1456.913,98.47755,464.9149,1428.726,508.0971,687.4259,359.7169,458.4402,116.8224,239.573,310.0973,116.0356,530.3204,265.1558,153.4816,675.5861,337.139,205.9529
7324.557745,1522.733,140.8809,433.157,1542.843,519.5284,701.6594,435.887,430.1234,110.5728,222.9761,291.6001,109.3894,563.6388,253.2426,145.1096,640.1401,311.3322,195.221
7324.657806,1455.294,135.0984,403.5683,1527.636,497.1681,665.4897,427.817,403.5555,104.6576,207.5291,274.2062,103.1239,581.5872,241.8647,148.053,606.5538,287.5007,185.0483
7324.757868,1419.851,140.6371,376.0009,1466.48,506.8016,631.1846,449.8448,378.6288,99.05881,193.1521,257.8499,97.21732,633.974,230.9979,139.9771,574.7297,334.5435,175.4057
7324.85793,1356.969,134.5745,350.3165,1415.009,532.5981,598.6478,461.9009,355.2417,93.75954,179.7711,242.4693,151.9276,668.4293,220.6194,132.3417,544.5754,334.1295,166.2656
7324.957991,1337.246,128.3457,326.3867,1361.978,519.1915,567.7882,505.8788,333.2991,88.74376,167.3172,228.0061,150.3685,683.4446,210.7072,136.7239,516.0031,343.2058,157.6017
