 Time, C00, C01, C02, C03, C04, C05, C06, C08, C09, C10, C11, C12, C13, C14, C15, C16, C18, C19
519944.1671,0.0,0.0,0.0,0.0,23.54544,0.0,0.0,232.1047,0.0,0.0,23.8623,230.111,0.0,0.0,0.0,0.0,27.85748,0.0
519944.2671,0.0,0.0,0.0,7.63e-06,85.05011,6.1e-05,-1.53e-05,321.4033,3.05e-05,0.0,22.62946,210.7501,0.0,0.0,0.0,0.0,34.66168,0.0
519944.3672,3.05e-05,0.0,0.0,7.63e-06,182.6644,21.9975,-1.53e-05,342.4047,56.74515,0.0,21.46027,212.1334,-7.63e-06,7.63e-06,0.0,0.0,90.3067,-1.53e-05
519944.4672,44.72464,0.0,1.53e-05,7.63e-06,250.1359,88.62213,-1.53e-05,357.2219,66.15198,0.0,20.3515,194.2851,-7.63e-06,0.0,0.0,0.0,95.79858,-1.53e-05
519944.5673,82.19608,15.29364,0.0,7.63e-06,282.7167,88.48529,0.0,334.162,61.96967,0.0,39.31674,177.9385,-7.63e-06,7.63e-06,-3.05e-05,0.0,144.5381,-1.53e-05
519944.6674,119.2027,14.56536,0.0,0.0,328.6281,128.4214,-1.53e-05,312.5907,58.05173,0.0,37.28543,162.9673,-7.63e-06,7.63e-06,-3.05e-05,0.0,206.2391,-1.53e-05
519944.7674,122.2164,13.87177,0.0,0.0,353.2012,121.2854,0.0,364.4028,83.86267,0.0,81.76953,149.2557,-7.63e-06,0.0,0.0,0.0,234.6514,-1.53e-05
519944.8675,152.5519,13.21121,-1.53e-05,0.0,385.752,120.4936,-1.53e-05,350.3627,101.7891,0.0,77.54489,136.6977,79.80757,7.63e-06,-1.53e-05,0.0,223.1544,-1.53e-05
519944.9676,188.1851,18.83285,0.0,0.0,430.5501,175.6813,-1.53e-05,371.222,127.646,0.0,73.53851,146.4914,73.93258,0.0,-1.53e-05,44.10498,293.3973,-1.53e-05
519945.0676,176.6194,17.93605,-7.63e-06,-3.81e-06,461.877,206.2548,0.0,384.3148,150.7094,0.0,69.73917,134.166,68.49007,0.0,0.0,96.86496,333.9903,-1.53e-05
519945.1677,182.3123,17.08195,-1.53e-05,0.0,540.8478,285.337,1.53e-05,395.0543,145.0751,0.0,151.8304,122.8777,63.44821,7.63e-06,0.0,131.6169,363.1619,-1.53e-05
519945.2677,246.1812,16.26851,-7.63e-06,0.0,605.0786,348.9435,0.0,535.0547,194.9743,0.0,172.3638,136.2347,98.87873,3.81e-06,0.0,182.6381,345.3683,-1.53e-05
519945.3678,239.5823,15.49382,-7.63e-06,0.0,582.1443,392.1991,44.91936,702.4386,182.6475,0.0,170.5292,189.2949,91.59982,0.0,0.0,196.9534,407.7925,-1.53e-05
519945.4679,244.9315,14.75601,-7.63e-06,0.0,607.3035,398.4032,120.1476,778.7692,198.9981,0.0,161.7187,173.3682,106.3841,0.0,36.47334,185.1605,429.4741,-1.53e-05
519945.5679,255.3577,14.05334,-7.63e-06,0.0,587.8559,421.7797,113.7863,758.7238,241.8899,0.0,167.0576,158.7815,98.55265,0.0,34.25734,174.0737,408.4315,-1.53e-05
519945.668,271.6373,13.38413,-1.53e-05,0.0,608.7468,450.6804,107.7617,709.7455,226.5969,0.0,202.4105,159.0466,111.681,0.0,82.46143,195.4949,426.1256,-1.53e-05
519945.768,287.61,12.74679,-7.63e-06,0.0,625.7249,425.6376,102.0561,693.9764,212.2707,0.0,206.4741,151.4465,140.999,-3.81e-06,96.09453,183.7893,447.9785,-1.53e-05
519945.8681,312.962,12.1398,-1.14e-05,0.0,618.4103,453.8448,127.8082,649.1779,198.8503,0.0,228.0528,138.7043,215.5621,-3.81e-06,115.7127,206.3764,536.5474,-1.14e-05
519945.9682,299.0494,11.56171,-1.14e-05,0.0,643.6146,513.5903,148.1326,607.2711,186.2784,0.0,237.4961,147.1228,230.9045,-3.81e-06,163.8449,290.7416,610.322,-1.14e-05
519946.0682,347.8441,11.01115,-7.63e-06,0.0,607.738,583.0778,176.0459,605.7056,174.5013,0.0,352.1487,134.7443,256.6733,-3.81e-06,153.8902,347.4115,608.0396,-7.63e-06
519946.1683,339.642,10.48681,-7.63e-06,0.0,573.8613,550.678,221.3641,566.6052,163.4688,0.0,384.689,133.8923,237.7784,-3.81e-06,144.5404,379.2354,603.6298,-7.63e-06
519946.2684,407.6869,9.987432,-7.63e-06,0.0,603.8738,542.8947,277.1332,530.0289,169.6043,0.0,364.8139,122.627,220.2745,-3.81e-06,135.7586,462.1956,615.0265,-7.63e-06
519946.3684,382.6307,9.511837,-3.81e-06,0.0,703.032,580.8258,396.604,495.8137,219.4879,0.0,405.5223,112.3095,232.1181,-3.81e-06,127.5103,507.2483,584.8923,88.53262
519946.4685,409.1524,9.05889,-3.81e-06,0.0,737.6309,605.7361,380.7905,463.8072,239.6781,0.0,396.4024,136.6747,347.9277,70.96165,119.7632,529.7278,569.2985,142.3112
519946.5685,384.0061,8.627513,244.0353,-1.91e-06,696.5136,572.0773,379.3512,433.8668,259.6279,0.0,398.9393,160.7671,322.3152,127.8076,112.4868,590.6843,578.3103,155.399
519946.6686,360.4053,8.216677,279.494,0.0,708.3501,602.8193,383.5404,405.8592,243.2135,0.0,378.3279,179.4809,298.5881,182.4252,105.6525,574.7369,549.9752,181.3393
519946.7687,358.0243,7.825405,282.7477,-1.91e-06,707.4606,583.7543,363.2333,379.6595,286.0822,0.0,358.7815,164.3799,276.6077,168.9487,99.23342,586.0828,597.5774,170.5912
519946.8687,390.7613,7.452765,286.8186,-1.91e-06,668.025,551.317,344.0014,415.8817,267.9952,0.0,382.9658,150.5494,256.2454,156.4677,160.6626,550.9901,662.2189,160.4802
519946.9688,408.1288,7.097869,304.899,-1.91e-06,630.7877,520.682,325.7878,445.4391,342.2805,0.0,363.1797,147.5872,237.382,144.9087,150.9012,517.9987,647.0046,150.9684
519947.0688,411.0528,14.64947,280.1867,-1.91e-06,631.2079,491.7494,331.3755,453.694,330.5855,0.0,344.416,135.1696,219.9073,134.2036,167.1563,513.402,680.9164,254.5125
519947.1689,419.4864,13.95188,257.4774,-1.91e-06,638.3682,487.7935,361.3756,424.4065,309.6849,0.0,326.6216,123.7969,203.7189,124.2894,157.0004,507.7967,685.2797,270.0486
519947.269,442.6685,13.2875,236.6087,-1.91e-06,663.8448,520.9012,370.6041,397.0096,348.7586,0.0,372.4955,113.381,188.7223,115.1076,147.4616,503.9429,679.0504,254.0427
519947.369,452.8862,12.65476,217.4314,-9.54e-07,670.6713,527.71,394.9898,371.3813,326.709,0.0,388.6109,103.8414,174.8296,106.6041,138.5023,506.3132,711.3401,288.0726
519947.4691,464.0947,12.05215,241.3358,-1.91e-06,678.1359,529.1944,374.0765,347.4073,341.3669,25.91846,368.5332,95.10448,161.9596,98.72877,130.0874,490.2,690.6685,309.9115
