 Time, C00, C01, C02, C03, C04, C05, C06, C08, C09, C10, C11, C12, C13, C14, C15, C16, C18, C19
16359.21906,0.0,55.82924,0.0,89.63432,162.8241,308.6834,67.64172,0.0,202.8522,354.9472,224.4458,54.10723,60.08448,0.0,0.0,230.9128,362.4742,0.0
16359.31912,0.0,53.32576,0.0,84.44413,155.4777,385.546,78.81471,0.0,247.4255,333.5386,229.5592,51.12164,81.88538,0.0,7.63e-06,217.6791,343.1348,27.65301
16359.41918,0.0,50.93454,0.0,79.55446,148.4628,385.4789,74.74332,1.53e-05,232.056,313.4212,261.648,48.3008,76.21654,0.0,0.0,205.2038,324.8272,25.70995
16359.51925,0.0,48.65056,0.0,74.94794,195.976,363.5905,70.88226,0.0,244.1378,294.5172,247.4624,55.27108,70.94014,0.0,-7.63e-06,193.4434,330.7664,23.90341
16359.61931,-3.81e-06,57.54164,0.0,70.60814,187.1338,361.0472,67.22063,0.0,228.9724,328.0724,234.0459,52.22128,66.02901,0.0,-7.63e-06,182.3571,313.1187,22.22382
16359.71937,-3.81e-06,55.92448,0.0,66.51964,189.163,378.5017,63.74816,0.0,214.7492,308.2847,221.3567,49.33975,132.1608,0.0,-7.63e-06,171.9061,356.5959,20.66224
16359.81943,-3.81e-06,79.54811,0.0,62.66787,262.5967,357.0096,60.45508,0.0,201.4094,289.6905,278.0724,46.61723,144.1287,0.0,26.35452,195.4145,390.1851,19.21039
16359.91949,-7.63e-06,90.93098,0.0,59.03915,296.9845,392.6953,57.3321,0.0,244.7929,272.2178,345.6899,44.04493,134.1508,0.0,80.40307,217.3002,474.1004,17.86056
16360.01955,-7.63e-06,154.7182,17.70166,55.62054,358.2171,416.0192,54.37045,1.53e-05,229.5869,304.5261,362.7383,41.61457,184.6494,0.0,119.8589,249.749,539.6942,16.60557
16360.11962,-7.63e-06,147.7804,16.37104,52.39988,346.9096,464.0595,51.56179,1.53e-05,215.3254,286.1586,380.8104,39.31832,288.2643,0.0,111.8486,235.4358,526.531,15.43876
16360.21968,-7.63e-06,141.1537,15.14045,49.36572,343.3817,437.7091,48.89822,1.53e-05,201.9499,285.6647,389.3264,37.14877,268.308,0.0,111.337,273.9348,498.4385,14.35395
16360.31974,-5.72e-06,134.8241,14.00235,46.50724,327.8887,426.215,46.37225,1.53e-05,189.4052,268.4348,397.1384,35.09893,249.7333,0.0,103.8962,310.5455,471.8447,13.34535
16360.4198,-3.81e-06,128.7784,12.94981,43.81428,313.0948,467.3021,56.22223,1.53e-05,177.6397,252.2441,375.6069,33.1622,232.4445,0.0,146.1027,292.748,512.0988,12.40763
16360.51986,-3.81e-06,123.0037,11.97638,41.27725,305.4767,477.1578,65.28526,176.2702,166.6051,237.03,404.3821,31.33234,216.3526,0.0,136.3385,275.9704,484.7763,11.5358
16360.61992,19.5118,117.488,11.07612,38.88713,291.6941,470.676,149.1915,259.286,156.256,222.7336,452.4455,29.60345,201.3747,0.0,127.2268,260.1544,595.4597,10.72522
16360.71998,23.18943,112.2197,10.24354,36.6354,311.5034,443.9499,141.4846,336.9198,146.5497,239.1055,427.9155,27.96996,187.4337,0.0,118.7241,256.9397,563.6896,9.971607
16360.82005,21.36396,107.1876,9.473541,34.51406,330.2507,463.426,139.8314,315.167,137.4463,267.8088,457.5726,26.4266,174.4578,0.0,151.7324,242.2143,600.6956,78.7998
16360.92011,40.21785,125.5253,8.761423,32.51556,334.57,480.1124,140.7682,294.8186,128.9084,251.6559,478.1771,24.9684,162.3802,0.0,141.5919,288.3971,574.7693,75.98021
16361.02017,37.0519,119.8966,8.102834,30.63277,406.9499,465.82,143.7388,275.7841,120.9009,236.4773,548.0486,23.59067,151.1388,0.0,151.9919,305.9568,695.2903,109.5888
16361.12023,65.40148,145.104,7.49375,28.85901,394.1947,478.7922,144.5104,257.9784,113.3908,222.2142,533.9136,22.28896,140.6756,0.0,163.9133,365.614,692.3547,101.8885
